x_m,y_m,w_tr_right_m,w_tr_left_m
-2.268127,-0.941481,0.831042,0.923423
-2.188600,-1.001679,0.894818,0.931872
-2.100172,-1.047692,0.969553,0.934225
-2.004272,-1.074652,0.999325,0.911504
-1.904739,-1.079650,0.967819,0.873063
-1.805725,-1.068007,0.958441,0.828871
-1.709978,-1.040295,0.863855,0.779550
-1.618745,-0.999882,0.772702,0.728047
-1.531188,-0.952110,0.688323,0.679692
-1.448133,-0.896799,0.614508,0.623670
-1.369006,-0.835975,0.554500,0.562475
-1.292168,-0.772286,0.498228,0.504789
-1.217997,-0.705491,0.440648,0.456356
-1.143740,-0.638793,0.399921,0.408466
-1.070380,-0.571117,0.382825,0.373943
-0.997518,-0.502898,0.367303,0.345660
-0.923816,-0.435587,0.362782,0.322406
-0.849868,-0.368547,0.357895,0.317666
-0.774113,-0.303568,0.350273,0.325251
-0.695497,-0.242104,0.353132,0.337304
-0.611280,-0.188706,0.369662,0.361411
-0.521645,-0.145019,0.365423,0.415864
-0.427121,-0.113291,0.366131,0.492984
-0.329129,-0.095087,0.379798,0.577275
-0.229559,-0.095826,0.379031,0.574157
-0.130942,-0.109852,0.386409,0.533910
-0.036511,-0.141457,0.396794,0.500074
0.052920,-0.185676,0.376379,0.468570
0.136764,-0.239799,0.370545,0.447824
0.217802,-0.298051,0.386227,0.431906
0.297263,-0.358454,0.399477,0.418590
0.374874,-0.421215,0.409829,0.410000
0.452845,-0.483530,0.420750,0.424779
0.531144,-0.545432,0.432193,0.452012
0.611613,-0.604455,0.467586,0.458794
0.694585,-0.659921,0.523453,0.464907
0.780566,-0.710591,0.582477,0.471224
0.868939,-0.756891,0.645734,0.493182
0.961763,-0.793400,0.717459,0.523519
1.057583,-0.820918,0.675232,0.547534
1.156323,-0.835042,0.648545,0.561634
1.255949,-0.840786,0.633545,0.577806
1.355632,-0.837272,0.622138,0.601418
1.454464,-0.823792,0.610264,0.622679
1.551823,-0.801862,0.621835,0.639479
1.647655,-0.773985,0.631657,0.656107
1.742282,-0.742233,0.639825,0.683194
1.835416,-0.706362,0.645822,0.719217
1.928038,-0.669161,0.661594,0.758312
2.019206,-0.628634,0.671072,0.794114
2.107104,-0.581380,0.698997,0.822877
2.191939,-0.528847,0.720735,0.845744
2.273173,-0.470885,0.760742,0.866713
2.350285,-0.407525,0.816674,0.891948
2.423257,-0.339491,0.867833,0.921487
2.490392,-0.265689,0.924108,0.953007
2.548790,-0.184785,0.990372,0.976173
2.599203,-0.098699,1.060018,0.990065
2.641473,-0.008328,1.128568,0.995155
2.674927,0.085613,1.067627,0.990236
2.697358,0.182802,1.023035,0.983854
2.709321,0.281833,0.995374,0.976934
2.711579,0.381579,0.969610,0.960297
2.705528,0.481184,0.961211,0.928467
2.695100,0.580449,0.942033,0.896628
2.680546,0.679189,0.933971,0.855298
2.663191,0.777482,0.919830,0.821313
2.646128,0.875825,0.913188,0.793655
2.632829,0.974738,0.896245,0.752209
2.623574,1.074120,0.881739,0.726239
2.613012,1.173373,0.863177,0.712099
2.603229,1.272695,0.855145,0.702303
2.593954,1.372076,0.844321,0.703368
2.583833,1.471376,0.837704,0.717604
2.576364,1.570907,0.818237,0.726292
2.564132,1.669961,0.803988,0.726695
2.551464,1.768959,0.788464,0.740240
2.538722,1.867955,0.776197,0.739887
2.524557,1.966757,0.778102,0.740560
2.508404,2.065237,0.776683,0.752574
2.490423,2.163409,0.771638,0.739480
2.472995,2.261688,0.761974,0.722113
2.456871,2.360186,0.756722,0.706049
2.439718,2.458514,0.756935,0.692211
2.424355,2.557132,0.752119,0.683795
2.405383,2.655108,0.747969,0.682804
2.385224,2.752858,0.737484,0.695083
2.366185,2.850838,0.739286,0.719662
2.347188,2.948818,0.750424,0.725339
2.329615,3.047059,0.739492,0.738760
2.309151,3.144746,0.744870,0.741691
2.290485,3.242798,0.751744,0.752417
2.268951,3.340244,0.746999,0.750076
2.247629,3.437743,0.747493,0.751901
2.226548,3.535300,0.743941,0.744988
2.202165,3.632087,0.757042,0.748019
2.180268,3.729469,0.752766,0.748348
2.156324,3.826352,0.754480,0.753567
2.133126,3.923431,0.768498,0.754634
2.109327,4.020367,0.769630,0.761774
2.087545,4.117755,0.771224,0.762773
2.067089,4.215439,0.775092,0.774836
2.046469,4.313081,0.776886,0.769562
2.025000,4.410550,0.775754,0.770276
2.004152,4.508147,0.767358,0.764311
1.982535,4.605579,0.763224,0.766339
1.960019,4.702820,0.758235,0.772921
1.939695,4.800525,0.764103,0.778040
1.918155,4.897978,0.772489,0.784113
1.898164,4.995757,0.767083,0.791281
1.875458,5.092947,0.765235,0.778245
1.854415,5.190507,0.762576,0.773685
1.831527,5.287654,0.770758,0.780069
1.808569,5.384791,0.771512,0.793335
1.785087,5.481803,0.775220,0.791529
1.760323,5.578495,0.767574,0.786776
1.735420,5.675153,0.772861,0.794492
1.710337,5.771763,0.778038,0.808847
1.687454,5.868916,0.782676,0.820399
1.660737,5.965081,0.788929,0.824422
1.633489,6.061104,0.787716,0.820946
1.607112,6.157369,0.795771,0.820150
1.581861,6.253924,0.794097,0.824729
1.560031,6.351303,0.801414,0.829535
1.537031,6.448426,0.803163,0.834715
1.514381,6.545617,0.801035,0.837291
1.489422,6.642256,0.813611,0.842059
1.463243,6.738572,0.822598,0.857252
1.437571,6.835022,0.825585,0.867612
1.408757,6.930583,0.840729,0.871026
1.377015,7.025210,0.851265,0.865440
1.346548,7.120257,0.861439,0.868771
1.311394,7.213659,0.855489,0.878549
1.274612,7.306422,0.862878,0.876180
1.234150,7.397663,0.885422,0.871422
1.193616,7.488872,0.915980,0.870014
1.150857,7.579060,0.928415,0.864438
1.107700,7.669054,0.915445,0.857132
1.065028,7.759286,0.898016,0.838354
1.021256,7.848988,0.886600,0.823255
0.976462,7.938183,0.870535,0.808614
0.932945,8.028010,0.859975,0.795282
0.891816,8.118956,0.858300,0.796997
0.852813,8.210823,0.857995,0.795877
0.813293,8.302479,0.838148,0.789644
0.774248,8.394338,0.825647,0.790743
0.734894,8.486067,0.825452,0.787742
0.693726,8.576983,0.829202,0.760616
0.653874,8.668495,0.820168,0.745542
0.614315,8.760125,0.804779,0.743990
0.574898,8.851806,0.796820,0.751796
0.532690,8.942252,0.798878,0.737023
0.490412,9.032654,0.803241,0.735535
0.446884,9.122477,0.807340,0.746137
0.402232,9.211744,0.797793,0.756272
0.357901,9.301159,0.788786,0.750435
0.311452,9.389506,0.778999,0.748154
0.265310,9.478015,0.772784,0.759447
0.219534,9.566712,0.774950,0.765449
0.176030,9.656542,0.779565,0.757088
0.132933,9.746573,0.785179,0.753007
0.089940,9.836653,0.780271,0.747136
0.045700,9.926118,0.769977,0.753162
0.003361,10.016506,0.765078,0.744939
-0.039866,10.106465,0.767818,0.729344
-0.083037,10.196447,0.773182,0.723631
-0.125576,10.286729,0.776643,0.723325
-0.166508,10.377764,0.762972,0.738405
-0.207612,10.468722,0.749926,0.750657
-0.250318,10.558926,0.751118,0.749907
-0.291150,10.650005,0.754261,0.743001
-0.332018,10.741069,0.757514,0.740282
-0.375049,10.831117,0.737274,0.744247
-0.419820,10.920326,0.732107,0.748328
-0.463640,11.009993,0.734529,0.759233
-0.506524,11.100107,0.735070,0.754837
-0.549744,11.190053,0.718305,0.748971
-0.595041,11.278987,0.717508,0.744023
-0.641244,11.367455,0.731475,0.731826
-0.685384,11.456966,0.738344,0.725149
-0.728891,11.546786,0.722047,0.725273
-0.772344,11.636636,0.710282,0.739061
-0.815469,11.726644,0.712077,0.746420
-0.859729,11.816100,0.728917,0.748489
-0.903672,11.905719,0.726603,0.764059
-0.948272,11.995014,0.723760,0.765305
-0.992550,12.084468,0.730896,0.758985
-1.034703,12.174941,0.743404,0.755101
-1.079127,12.264316,0.740002,0.751702
-1.123578,12.353683,0.729988,0.759313
-1.168842,12.442637,0.729572,0.768788
-1.215521,12.530863,0.744250,0.777277
-1.262370,12.618984,0.760066,0.784500
-1.311205,12.706018,0.761225,0.799603
-1.363985,12.790727,0.773378,0.812884
-1.417878,12.874740,0.791187,0.834251
-1.475008,12.956583,0.812176,0.852076
-1.534555,13.036677,0.819669,0.868669
-1.598044,13.113660,0.836538,0.891346
-1.667884,13.184952,0.872584,0.915285
-1.741540,13.252278,0.909161,0.925089
-1.819580,13.314424,0.956030,0.938759
-1.903292,13.368713,1.007527,0.943536
-1.992234,13.413950,1.058594,0.938470
-2.085501,13.449408,1.121158,0.933307
-2.181308,13.477212,1.194336,0.930734
-2.279511,13.494747,1.253231,0.923732
-2.378961,13.502770,1.190574,0.902469
-2.478713,13.505580,1.137693,0.886717
-2.578338,13.500281,1.098873,0.873937
-2.677246,13.487100,1.054162,0.860777
