x_m,y_m,w_tr_right_m,w_tr_left_m
5.900956,-0.517558,1.150121,1.048276
5.997578,-0.492512,1.179274,1.057111
6.090724,-0.456647,1.099308,1.063983
6.178976,-0.410019,1.015986,1.068382
6.260949,-0.353087,0.941758,1.070033
6.335619,-0.286891,0.875596,1.054326
6.402357,-0.212715,0.823919,1.016994
6.459903,-0.131207,0.780833,0.977146
6.510870,-0.045372,0.734022,0.934273
6.554814,0.044276,0.706158,0.888202
6.592385,0.136770,0.698568,0.844866
6.624308,0.231365,0.670688,0.800583
6.651126,0.327545,0.662291,0.751781
6.673992,0.424746,0.658991,0.701891
6.692810,0.522808,0.648002,0.659490
6.706300,0.621719,0.640319,0.624973
6.716546,0.721052,0.651336,0.601887
6.727401,0.820321,0.663328,0.595499
6.738050,0.919607,0.652673,0.599526
6.747895,1.018978,0.651299,0.609116
6.758742,1.118246,0.664104,0.619886
6.767245,1.217716,0.673893,0.643617
6.771869,1.317469,0.680238,0.677781
6.772254,1.417279,0.704936,0.709037
6.762024,1.516536,0.729993,0.742000
6.737805,1.613278,0.765907,0.773507
6.692908,1.702319,0.778968,0.795659
6.633649,1.782515,0.697408,0.796928
6.565299,1.855249,0.629028,0.761560
6.488993,1.919575,0.580155,0.722283
6.407725,1.977568,0.553172,0.687413
6.323978,2.031948,0.516220,0.661497
6.238669,2.083852,0.497982,0.637831
6.153598,2.136144,0.498980,0.614619
6.069170,2.189471,0.497958,0.585472
5.986431,2.245352,0.497148,0.529999
5.907430,2.306380,0.501974,0.480029
5.833603,2.373575,0.506670,0.453332
5.766642,2.447544,0.501768,0.457389
5.705680,2.526621,0.489115,0.470057
5.649494,2.609165,0.470680,0.488457
5.598989,2.695276,0.445286,0.513278
5.552858,2.783826,0.436433,0.527949
5.512406,2.875092,0.438476,0.540486
5.476498,2.968271,0.442803,0.563375
5.444164,3.062742,0.455642,0.569485
5.414375,3.158054,0.476348,0.584558
5.384732,3.253409,0.505968,0.615806
5.358747,3.349808,0.531965,0.646098
5.336286,3.447103,0.554449,0.684149
5.316501,3.544978,0.574260,0.720860
5.298854,3.643263,0.598634,0.762712
5.284918,3.742132,0.629682,0.817770
5.275747,3.841562,0.660987,0.882093
5.271437,3.941263,0.700859,0.930276
5.276884,4.040915,0.731899,0.895800
5.287660,4.140143,0.762143,0.852123
5.308292,4.237832,0.780720,0.817958
5.334370,4.334164,0.793834,0.800503
5.367798,4.428247,0.806573,0.795201
5.408496,4.519434,0.816659,0.800575
5.452755,4.608907,0.827072,0.793695
5.501640,4.695979,0.831732,0.791498
5.551273,4.782624,0.836794,0.792243
5.605090,4.866741,0.837232,0.809498
5.658534,4.951088,0.836506,0.817022
5.713238,5.034630,0.834609,0.814925
5.768822,5.117589,0.832798,0.826042
5.823183,5.201355,0.844342,0.830259
5.878359,5.284587,0.852930,0.831247
5.934370,5.367259,0.852219,0.828670
5.990838,5.449621,0.851998,0.832578
6.046387,5.532598,0.853130,0.847225
6.103355,5.614615,0.864170,0.847971
6.159857,5.696952,0.867214,0.850466
6.215632,5.779784,0.859422,0.833860
6.270205,5.863412,0.861977,0.827591
6.323879,5.947621,0.857525,0.832264
6.376654,6.032395,0.865265,0.841949
6.428036,6.118021,0.862684,0.834435
6.479382,6.203654,0.863091,0.838792
6.528351,6.290681,0.864134,0.839731
6.578219,6.377196,0.867754,0.832870
6.627262,6.464179,0.872433,0.836996
6.674797,6.551988,0.862267,0.842804
6.721866,6.640049,0.860764,0.835878
6.765586,6.729830,0.874492,0.824434
6.811544,6.818486,0.876965,0.817150
6.856346,6.907720,0.871259,0.820737
6.903099,6.995959,0.873306,0.838452
6.950361,7.083927,0.886100,0.843846
6.998938,7.171167,0.891129,0.843404
7.048724,7.257731,0.902171,0.847839
7.099918,7.343465,0.922357,0.862065
7.150743,7.429423,0.929319,0.875921
7.201222,7.515582,0.940696,0.879222
7.253376,7.600737,0.960469,0.887239
7.303619,7.687030,0.985914,0.904092
7.350796,7.775037,1.014747,0.928061
7.395846,7.864123,0.995150,0.935813
7.438795,7.954274,0.954181,0.941118
7.480504,8.044994,0.923566,0.942509
7.518569,8.137308,0.906952,0.939806
7.555009,8.230272,0.886481,0.943607
7.590650,8.323555,0.851883,0.942512
7.620242,8.418904,0.834275,0.933233
7.646976,8.515107,0.831391,0.931609
7.669627,8.612314,0.823668,0.927911
7.688700,8.710334,0.816937,0.919888
7.706647,8.808562,0.813367,0.900768
7.725394,8.906634,0.815542,0.883798
7.745261,9.004496,0.799278,0.874344
7.764914,9.102394,0.795531,0.859683
7.784721,9.200260,0.804105,0.856644
7.806445,9.297712,0.784294,0.844227
7.829425,9.394892,0.761349,0.834822
7.853909,9.491694,0.741812,0.817182
7.878789,9.588404,0.735024,0.811939
7.901796,9.685575,0.731479,0.817016
7.923792,9.782977,0.716910,0.816444
7.944488,9.880666,0.696224,0.820593
7.961468,9.979054,0.685740,0.804724
7.976389,10.077793,0.691775,0.781845
7.994222,10.176047,0.696580,0.768541
8.008682,10.274853,0.682103,0.734800
8.022546,10.373745,0.677093,0.709704
8.038779,10.472275,0.684356,0.690970
8.054007,10.570966,0.687247,0.671963
8.068487,10.669763,0.683992,0.653682
8.083023,10.768558,0.695162,0.650445
8.098708,10.867175,0.693423,0.663561
8.112902,10.966019,0.679184,0.689585
8.125824,11.065033,0.666226,0.727329
8.138909,11.164030,0.666949,0.759623
8.153252,11.262850,0.681204,0.706258
8.164542,11.362059,0.677332,0.660868
8.175003,11.461370,0.666931,0.627389
8.185637,11.560656,0.656361,0.608804
8.196062,11.659964,0.647246,0.606100
8.205086,11.759407,0.654834,0.615131
8.209999,11.859140,0.681059,0.623182
8.214461,11.958895,0.676607,0.646306
8.221817,12.058479,0.669269,0.685976
8.226481,12.158218,0.668670,0.734874
8.226553,12.258068,0.687296,0.780188
8.223707,12.357869,0.716998,0.831778
8.213679,12.457200,0.727028,0.885887
8.194148,12.555089,0.746572,0.939861
8.162493,12.649711,0.778281,0.984142
8.116377,12.738111,0.824626,1.013974
8.054305,12.815978,0.888132,1.029044
7.977159,12.879121,0.970819,1.025121
7.889905,12.927452,0.969758,1.012941
7.796542,12.962648,0.957810,0.996036
7.699746,12.986971,0.942952,0.977587
7.601191,13.002906,0.927030,0.960570
7.501763,13.011995,0.922432,0.946861
7.402043,13.017285,0.932387,0.939766
7.302346,13.022981,0.952367,0.943653
7.202623,13.028223,0.951743,0.948888
7.102869,13.032820,0.947142,0.957171
7.003097,13.037026,0.942935,0.970060
6.903309,13.040554,0.945818,0.992221
6.803537,13.037598,0.965467,1.017551
6.704553,13.024986,0.997863,1.042662
6.607770,13.000766,1.029481,1.065297
6.514996,12.964101,1.048028,1.079766
6.428357,12.914598,0.976109,1.083989
6.349364,12.853649,0.920692,1.068806
6.277627,12.784266,0.865951,1.050376
6.215099,12.706480,0.824662,1.022250
6.157520,12.624925,0.766823,0.983591
6.104567,12.540273,0.719153,0.942160
6.055415,12.453354,0.687098,0.893460
6.008241,12.365339,0.670808,0.845156
5.960667,12.277543,0.642978,0.796239
5.911527,12.190613,0.616352,0.748595
5.859636,12.105310,0.591943,0.708957
5.803082,12.023034,0.568247,0.666520
5.739402,11.946145,0.547593,0.633820
5.670793,11.873646,0.526489,0.603996
5.596780,11.806653,0.516168,0.570316
5.518023,11.745323,0.503817,0.543630
5.434436,11.690734,0.497200,0.527373
5.346337,11.643756,0.501720,0.534423
5.253806,11.606406,0.487473,0.556806
5.157196,11.581528,0.471176,0.582620
5.058051,11.570599,0.461565,0.626456
4.958353,11.573387,0.459699,0.644832
4.859958,11.589733,0.464174,0.635982
4.764606,11.619047,0.458268,0.609763
4.673615,11.659936,0.461658,0.575037
4.588158,11.711443,0.474486,0.556894
4.509914,11.773384,0.486023,0.539414
4.438031,11.842620,0.487896,0.537543
4.373895,11.919122,0.488287,0.546278
4.316906,12.001089,0.499969,0.574193
4.267756,12.087977,0.499994,0.625008
4.223052,12.177250,0.500164,0.657562
4.183074,12.268734,0.514844,0.693863
4.149314,12.362711,0.541446,0.725482
4.119187,12.457896,0.571522,0.753461
4.096230,12.555053,0.594470,0.799622
4.076916,12.653024,0.621619,0.852319
