x_m,y_m,w_tr_right_m,w_tr_left_m
-0.936983,3.868922,0.898430,0.915348
-1.024402,3.820382,0.892441,0.924379
-1.111056,3.770489,0.888716,0.931893
-1.196901,3.719217,0.893330,0.937845
-1.282707,3.667880,0.892849,0.943752
-1.368825,3.617065,0.902902,0.950295
-1.455326,3.566910,0.905852,0.957625
-1.542489,3.517927,0.911227,0.966318
-1.630740,3.470913,0.919294,0.977088
-1.720090,3.426034,0.926927,0.980141
-1.810013,3.382305,0.929306,0.986222
-1.900568,3.339909,0.934665,1.000973
-1.992247,3.299998,0.938832,1.002705
-2.084728,3.261990,0.940976,1.007830
-2.178464,3.227193,0.940556,1.010637
-2.273371,3.195747,0.934246,1.024136
-2.369645,3.168789,0.918809,1.027824
-2.467372,3.147728,0.908037,1.044327
-2.565919,3.130891,0.903909,1.074031
-2.665265,3.119630,0.898986,1.074517
-2.765030,3.113074,0.888408,1.065775
-2.864991,3.111042,0.870995,1.051191
-2.964978,3.111403,0.851837,1.040459
-3.064839,3.116333,0.839601,1.042629
-3.164560,3.123687,0.825287,1.013214
-3.264174,3.132358,0.816619,0.989192
-3.363709,3.141898,0.807084,0.970119
-3.463061,3.153187,0.800737,0.954522
-3.562349,3.165011,0.806294,0.939503
-3.661493,3.177994,0.805044,0.925201
-3.760619,3.191125,0.810477,0.910970
-3.859517,3.205878,0.826444,0.898387
-3.958134,3.222380,0.836336,0.890051
-4.056282,3.241449,0.849442,0.895502
-4.153852,3.263310,0.871134,0.896431
-4.250755,3.287927,0.880774,0.887993
-4.346752,3.315898,0.897615,0.894225
-4.442071,3.346102,0.903803,0.903306
-4.536578,3.378745,0.916783,0.909435
-4.630115,3.414082,0.918139,0.911794
-4.722776,3.451651,0.927936,0.911423
-4.814635,3.491151,0.928899,0.917708
-4.905771,3.532286,0.936184,0.915229
-4.996142,3.575081,0.938910,0.922320
-5.086169,3.618594,0.935511,0.925592
-5.175988,3.662531,0.941557,0.935520
-5.264841,3.708391,0.946920,0.940087
-5.353489,3.754651,0.947395,0.938519
-5.442039,3.801099,0.943840,0.942104
-5.530039,3.848574,0.949687,0.949264
-5.617147,3.897666,0.958085,0.961577
-5.703577,3.947943,0.965153,0.967041
-5.789321,3.999380,0.965049,0.963559
-5.874466,4.051804,0.958144,0.969715
-5.958977,4.105244,0.960449,0.971575
-6.042702,4.159911,0.959881,0.972124
-6.125963,4.215281,0.951484,0.976711
-6.209005,4.270978,0.948716,0.970018
-6.291217,4.327896,0.943712,0.968646
-6.373717,4.384395,0.943182,0.969004
-6.456934,4.439831,0.943971,0.953688
-6.540599,4.494589,0.945607,0.947661
-6.623059,4.551144,0.945116,0.948165
-6.704346,4.609373,0.942616,0.943810
-6.784477,4.669182,0.943711,0.945490
-6.864468,4.729182,0.952258,0.943248
-6.944316,4.789372,0.953608,0.946387
-7.024487,4.849129,0.959794,0.950965
-7.105924,4.907148,0.959667,0.962454
-7.188375,4.963714,0.966783,0.979275
-7.272492,5.017771,0.986986,0.980269
-7.358939,5.068007,1.020836,0.984611
-7.446801,5.115729,1.058424,0.996155
-7.536596,5.159697,1.039459,1.010513
-7.628447,5.199182,0.999838,1.011705
-7.722408,5.233338,0.965617,1.010595
-7.818439,5.261155,0.937776,1.012703
-7.915770,5.284047,0.920512,1.016865
-8.014217,5.301459,0.919517,1.018698
-8.113522,5.313071,0.910907,1.008270
-8.213215,5.320672,0.903305,1.001338
-8.313176,5.322835,0.907783,0.991390
-8.413167,5.322949,0.925136,0.977760
-8.513127,5.325139,0.931629,0.967169
-8.612988,5.330248,0.944186,0.950440
