s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
0.000000000000000000e+00,1.129956159803782789e+01,-5.908484110873737372e-01,-1.380907014666860499e+00,2.299666156369353787e-01,3.661867725587591771e+00,-1.546965986294546402e+00,5.418678394297947731e-01,8.991223611724413756e-01
9.974840318643650450e-02,1.139728922371136655e+01,-5.708816650061916409e-01,-1.357434243992128087e+00,2.406986340796134216e-01,3.619483452906894883e+00,-1.469561878621507223e+00,5.617972909132803450e-01,8.878135459522117356e-01
1.994968063728730090e-01,1.149450849133959096e+01,-5.485746032456977339e-01,-1.332883802333481915e+00,2.515680564754383952e-01,3.578755029939113985e+00,-1.392618797364036043e+00,5.845666353955910610e-01,8.654776970418680548e-01
2.992452095593094996e-01,1.159113785177558498e+01,-5.238350080034689382e-01,-1.307241943879574819e+00,2.625957699220369257e-01,3.539726622459077987e+00,-1.315435968985277038e+00,6.142008515780179589e-01,8.236595138091041823e-01
3.989936127457460180e-01,1.168708516964121280e+01,-4.965732418766446998e-01,-1.280490821906366872e+00,2.738014916319712611e-01,3.502461889435056097e+00,-1.237170918538898379e+00,6.498308050548473602e-01,7.789829320437449134e-01
4.987420159321825364e-01,1.178225267540509336e+01,-4.667012112024102599e-01,-1.252612580410969123e+00,2.852118363672528356e-01,3.467048837233055014e+00,-1.156972003606766108e+00,6.906677303417347868e-01,7.394629368872774888e-01
5.984904191186189992e-01,1.187653087412529906e+01,-4.341343399128383407e-01,-1.223584349752544043e+00,2.968497348307865269e-01,3.433600940700113568e+00,-1.073751747708421300e+00,7.402834857569953186e-01,7.019988919673713079e-01
6.982388223050555176e-01,1.196980402459619519e+01,-3.987901406955382533e-01,-1.193383237866681768e+00,3.087492001664712271e-01,3.402264742119811114e+00,-9.864146590952106441e-01,7.839598710931854342e-01,6.659784543667686130e-01
7.979872254914920360e-01,1.206194340995830494e+01,-3.605908370914168160e-01,-1.161980224877934287e+00,3.209366554255638770e-01,3.373220834932498580e+00,-8.935021546680349536e-01,8.222440242867277149e-01,6.278972633824557725e-01
8.977356286779285544e-01,1.215281339134655347e+01,-3.194614402597314995e-01,-1.129346296611213107e+00,3.334548422584360794e-01,3.346695082447630032e+00,-7.935170563135722777e-01,8.633743256019327239e-01,5.867972978897928460e-01
9.974840318643650727e-01,1.224226397688759960e+01,-2.753332007401642079e-01,-1.095444929306958359e+00,3.463349601157525437e-01,3.322960104536644810e+00,-6.843818861130163134e-01,9.072900852130465488e-01,5.423260965112783882e-01
1.097232435050801591e+00,1.233013749703287765e+01,-2.281410539438829821e-01,-1.060239451150942092e+00,3.596339382108324489e-01,3.302352472968807628e+00,-5.639941907662615606e-01,9.540475415585757402e-01,4.990723864974640489e-01
1.196980838237237998e+00,1.241626038155260758e+01,-1.778281274617469487e-01,-1.023683940543995696e+00,3.733855784923750254e-01,3.285272715597972404e+00,-4.294559289417058112e-01,1.003567501077922364e+00,4.584419830240911709e-01
1.296729241423674628e+00,1.250045055442792652e+01,-1.243424080000739146e-01,-9.857328944723597886e-01,3.876539371713690896e-01,3.272207470431957699e+00,-2.797764818566781386e-01,1.055669005356528523e+00,4.267379030797932571e-01
1.396477644610111035e+00,1.258250838889179768e+01,-6.764265419829271209e-02,-9.463296215221052021e-01,4.023141847533904802e-01,3.263667754983963665e+00,-1.654725808017941668e-01,1.110407828360640448e+00,3.972611263915122315e-01
