s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
3.789918318752076853e+00,1.366563323691397791e+01,1.982113404031683901e+00,-6.939338952431373109e-02,3.287266038041209981e-01,3.521112924656585541e+00,4.235926149304449218e-01,1.151440432901303046e+00,9.725016167488228502e-01
3.889653011350815870e+00,1.367091674183894767e+01,2.081703666691269827e+00,-3.661270125769755523e-02,3.286893434304212769e-01,3.533090713052528198e+00,-1.150064152211346530e-01,1.162718462284133780e+00,9.693633097526990205e-01
3.989387703949554442e+00,1.367293295681821874e+01,2.181413602052727274e+00,-3.818162059078700210e-03,3.290040106892145322e-01,3.529842734134212900e+00,-4.913251413253861832e-01,1.167453661176182322e+00,9.544190393096972924e-01
4.089122396548293459e+00,1.367167658234874494e+01,2.281136013350289371e+00,2.902539147712546175e-02,3.296733368096091410e-01,3.515933077270933627e+00,-5.177899698763261949e-01,1.168906360824191415e+00,9.393711265481642370e-01
4.188857089147032475e+00,1.366714232462357614e+01,2.380763140625828722e+00,6.195341393569719912e-02,3.306968354130077614e-01,3.501214383166961319e+00,-5.415048803228517116e-01,1.173593872428811302e+00,9.276946273613821958e-01
4.288591781745771492e+00,1.365932492517657693e+01,2.480186580995010548e+00,9.500139603929258492e-02,3.320814732900846944e-01,3.485755084818176641e+00,-5.623088480313639392e-01,1.181699367228293163e+00,9.165034705045113084e-01
4.388326474344509620e+00,1.364821922164542833e+01,2.579296455469389127e+00,1.282055621969595549e-01,3.338270448633775533e-01,3.469628958711270528e+00,-5.801563519120562784e-01,1.197899282602206794e+00,8.975581771262375330e-01
4.488061166943248637e+00,1.363382018161489917e+01,2.677981746369369365e+00,1.616021917926808715e-01,3.359450987818575207e-01,3.452912058001701645e+00,-5.948253217101530099e-01,1.219276836810307962e+00,8.676625646888772581e-01
4.587795859541987653e+00,1.361612308518686021e+01,2.776129024804087297e+00,1.952287676969390873e-01,3.384356608730435534e-01,3.435688029939873545e+00,-6.062671400939804167e-01,1.249766449025519144e+00,8.368281613542332131e-01
4.687530552140726670e+00,1.359512350936794078e+01,2.873623206999046165e+00,2.291228699415912562e-01,3.413156546039831096e-01,3.418043373828388187e+00,-6.141771979165226991e-01,1.286017205691506460e+00,8.099946453748827491e-01
