s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
0.000000000000000000e+00,1.129947976719675218e+01,-5.906714830922795700e-01,-1.381009370911821854e+00,2.299048663053927521e-01,3.662346133530693049e+00,-1.547003327472539436e+00,5.420435112408187317e-01,8.989322724326210823e-01
9.979115786547093636e-02,1.139725128670018073e+01,-5.707060023669116022e-01,-1.357532787170616206e+00,2.406351675109525412e-01,3.619948161955744759e+00,-1.469598920053972968e+00,5.619724939447089396e-01,8.876378275290546238e-01
1.995823157309418727e-01,1.149451437807151422e+01,-5.483987666075679224e-01,-1.332978241158506716e+00,2.515028801395620128e-01,3.579206439923060756e+00,-1.392656624663229703e+00,5.847425637564964696e-01,8.653018446223417204e-01
2.993734735964128091e-01,1.159118743808250507e+01,-5.236574869968015911e-01,-1.307331982470484322e+00,2.625288666609950083e-01,3.540165124032830679e+00,-1.315475088145491078e+00,6.143800900372571316e-01,8.234758014901327750e-01
3.991646314618837454e-01,1.168717827267732901e+01,-4.963924553910129545e-01,-1.280576155943448757e+00,2.737328769486941371e-01,3.502887885879299112e+00,-1.237212146733433604e+00,6.500193433661581865e-01,7.787894471443694844e-01
4.989557893273546818e-01,1.178238904392986264e+01,-4.665155096067637452e-01,-1.252692898877869165e+00,2.851414942371072736e-01,3.467462743238121092e+00,-1.157015431585448839e+00,6.908735441109687958e-01,7.392716745697295311e-01
5.987469471928256182e-01,1.187671018228049213e+01,-4.339420061104724557e-01,-1.223659330371767107e+00,2.967776915825678929e-01,3.434003211497067998e+00,-1.073797693687690735e+00,7.405066953549301889e-01,7.017983845462070214e-01
6.985381050582966100e-01,1.197002586230976995e+01,-3.985893928813459830e-01,-1.193452548444444705e+00,3.086754509492832255e-01,3.402655878316148907e+00,-9.864626185449282270e-01,7.841633745037202008e-01,6.657791192453039741e-01
7.983292629237674909e-01,1.206220727434926765e+01,-3.603798310700330187e-01,-1.162043518054427516e+00,3.208612407228823571e-01,3.373601418728691126e+00,-8.935517638151014852e-01,8.224527320769781102e-01,6.276881057474251735e-01
8.981204207892383717e-01,1.215311867763032794e+01,-3.192382726661459613e-01,-1.129403211266002849e+00,3.333777673418293896e-01,3.347065789942072822e+00,-7.935668706555386587e-01,8.635996431568407905e-01,5.865774909903022083e-01
