s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
0.000000000000000000e+00,1.129935097065831506e+01,-5.901169931122745016e-01,-1.380949046505388633e+00,2.296634012661054880e-01,3.664190554866177951e+00,-1.547199097350317576e+00,5.425960205934342584e-01,8.983631180950691908e-01
9.993541968692876143e-02,1.139726252986036492e+01,-5.701162884276651521e-01,-1.357463030455983599e+00,2.403861939175838403e-01,3.621747152978052053e+00,-1.469790870454412701e+00,5.625622993295423813e-01,8.870481306463092741e-01
1.998708393738575229e-01,1.149466455627405104e+01,-5.477695180590724799e-01,-1.332898244520590136e+00,2.512463730768548231e-01,3.580961338121771753e+00,-1.392847666958106023e+00,5.853776068681426636e-01,8.646721915769570721e-01
2.998062590607862843e-01,1.159147525009687563e+01,-5.229841988428610700e-01,-1.307240923917364128e+00,2.622647743761282735e-01,3.541877252645556418e+00,-1.315667242357108524e+00,6.150636578262430598e-01,8.227600720332861606e-01
3.997416787477150457e-01,1.168760220313636644e+01,-4.956704337227559320e-01,-1.280473189716459181e+00,2.734611843001420461e-01,3.504558596562687089e+00,-1.237407239249762370e+00,6.507772034157055518e-01,7.780083383919235152e-01
4.996770984346438071e-01,1.178294734242364328e+01,-4.657398777705042958e-01,-1.252577156734328234e+00,2.848621670346337953e-01,3.469093445438633960e+00,-1.157214358951318411e+00,6.917314615126349819e-01,7.384735229196704998e-01
5.996125181215725686e-01,1.187740083424549908e+01,-4.331077149758861822e-01,-1.223529912376190909e+00,2.964907302509378062e-01,3.435595425530516778e+00,-1.074000788302721388e+00,7.414583992313590333e-01,7.009330940165952040e-01
6.995479378085013300e-01,1.197084657520889550e+01,-3.976912260867626614e-01,-1.193308521529529154e+00,3.083808491439647415e-01,3.404211287343951398e+00,-9.866691345886128284e-01,7.850546991529273599e-01,6.648868342249001362e-01
7.994833574954300914e-01,1.206315543514846134e+01,-3.594124225200420741e-01,-1.161883907425029117e+00,3.205590226559860145e-01,3.375121938651322040e+00,-8.937596083748644560e-01,8.234125842559446573e-01,6.267282738130600661e-01
8.994187771823588529e-01,1.215419134726275097e+01,-3.181961096393159383e-01,-1.129226994567261499e+00,3.330679806148443278e-01,3.348553660558708067e+00,-7.937726425652382733e-01,8.646302117643872576e-01,5.855484400696441272e-01
9.993541968692876143e-01,1.224380382230643072e+01,-2.739733643565470667e-01,-1.095301184298739461e+00,3.459389890853168392e-01,3.324779633795239331e+00,-6.846284210274283799e-01,9.086554617264203104e-01,5.409510701126620802e-01
1.099289616556216487e+00,1.233183468882165634e+01,-2.266789515279740153e-01,-1.060069720930491677e+00,3.592289741289916849e-01,3.304137157584360107e+00,-5.642207309153165484e-01,9.555019659077103045e-01,4.977741116902820173e-01
1.199225036243145137e+00,1.241810978469638727e+01,-1.762558778498757306e-01,-1.023486586006211230e+00,3.729718190243154763e-01,3.287027697639537394e+00,-4.296460946923358892e-01,1.005130580315714006e+00,4.571876120560283696e-01
1.299160455930073788e+00,1.250244644849950504e+01,-1.226520070074111068e-01,-9.855061598571872583e-01,3.872316825305585075e-01,3.273939119695053357e+00,-2.799125699490110364e-01,1.057331968619570794e+00,4.256905408954161918e-01
