x_m,y_m,w_tr_right_m,w_tr_left_m
-5.095417,-7.892763,0.985383,0.726618
-4.995652,-7.888578,0.992411,0.697428
-4.896731,-7.874585,0.917686,0.671986
-4.799796,-7.850422,0.855837,0.647995
-4.705865,-7.816457,0.792323,0.616115
-4.615055,-7.774853,0.744203,0.591190
-4.526615,-7.728361,0.712203,0.565262
-4.440204,-7.678237,0.669851,0.548104
-4.358213,-7.621168,0.635912,0.527034
-4.279453,-7.559704,0.603642,0.515714
-4.203749,-7.494486,0.579929,0.518780
-4.129888,-7.427200,0.575312,0.523420
-4.058124,-7.357668,0.552709,0.524998
-3.988814,-7.285689,0.539306,0.523114
-3.920371,-7.212894,0.542385,0.520041
-3.855494,-7.136894,0.527525,0.521185
-3.792564,-7.059286,0.524613,0.526260
-3.732437,-6.979484,0.538556,0.524075
-3.674879,-6.897811,0.530922,0.524192
-3.618953,-6.815001,0.538941,0.524380
-3.563829,-6.731657,0.558933,0.523728
-3.510698,-6.647044,0.554770,0.516334
-3.458296,-6.561962,0.565616,0.495415
-3.407997,-6.475638,0.566358,0.491773
-3.361952,-6.386963,0.582704,0.499959
-3.316685,-6.297880,0.591069,0.512126
-3.272828,-6.208104,0.617232,0.516509
-3.230773,-6.117470,0.651533,0.517456
-3.191163,-6.025740,0.676527,0.527589
-3.153465,-5.933205,0.681721,0.553406
-3.117482,-5.839983,0.703040,0.578059
-3.083270,-5.746116,0.736823,0.598114
-3.052480,-5.651054,0.763975,0.602807
-3.021544,-5.556046,0.785759,0.612318
-2.993058,-5.460272,0.815771,0.616708
-2.964522,-5.364511,0.843991,0.636989
-2.938505,-5.268046,0.849285,0.656720
-2.913179,-5.171389,0.862403,0.682080
-2.890545,-5.074064,0.889296,0.704749
-2.868162,-4.976695,0.926468,0.704019
-2.846037,-4.879259,0.972759,0.705668
-2.821387,-4.782430,1.004256,0.723814
-2.798974,-4.685069,1.032266,0.746227
-2.774268,-4.588284,1.066737,0.770944
-2.749898,-4.491383,1.109489,0.795336
-2.726710,-4.394191,1.154867,0.818552
-2.701968,-4.297381,1.181245,0.843334
-2.678639,-4.200219,1.203974,0.866705
-2.657568,-4.102544,1.236564,0.887814
-2.638883,-4.004427,1.278325,0.906533
-2.620784,-3.906158,1.326848,0.924663
-2.607219,-3.807207,1.384600,0.938246
-2.598722,-3.707645,1.412229,0.946748
-2.590586,-3.608060,1.355592,0.954889
-2.588037,-3.508183,1.301916,0.957436
-2.587432,-3.408266,1.250503,0.958040
-2.591526,-3.308435,1.209507,0.953949
-2.596490,-3.208637,1.175864,0.948988
-2.604864,-3.109069,1.145423,0.940624
-2.612713,-3.009455,1.105346,0.932784
-2.620572,-2.909850,1.059906,0.924934
-2.626817,-2.810120,1.019690,0.918695
-2.633031,-2.710388,0.980399,0.888767
-2.634817,-2.610488,0.943817,0.869473
-2.638273,-2.510625,0.908775,0.838795
-2.641236,-2.410744,0.871837,0.798045
-2.643297,-2.310841,0.836942,0.769084
-2.644283,-2.210921,0.802313,0.741118
-2.646480,-2.111038,0.780241,0.712783
-2.647529,-2.011132,0.764388,0.698874
-2.646532,-1.911219,0.752162,0.699867
-2.647875,-1.811307,0.753508,0.699814
-2.648077,-1.711386,0.738922,0.715001
-2.649135,-1.611468,0.717607,0.742621
-2.651613,-1.511578,0.711267,0.743858
-2.651527,-1.411656,0.716353,0.743943
-2.651491,-1.311736,0.735162,0.743978
-2.649308,-1.211838,0.754128,0.746159
-2.648541,-1.111916,0.760679,0.746925
-2.646953,-1.012005,0.779285,0.748512
-2.642446,-0.912190,0.802223,0.753019
-2.633285,-0.812704,0.809359,0.746926
-2.617946,-0.713995,0.816184,0.741616
-2.595306,-0.616706,0.827719,0.756969
-2.564793,-0.521615,0.842981,0.780450
-2.525141,-0.429951,0.860133,0.794466
-2.476096,-0.342983,0.869365,0.822760
-2.417473,-0.262162,0.865894,0.854802
-2.351008,-0.187627,0.863882,0.809785
-2.277043,-0.120483,0.859065,0.767190
-2.198249,-0.059061,0.846801,0.706189
-2.115187,-0.003542,0.827375,0.652867
-2.028670,0.046414,0.801625,0.617551
-1.938699,0.089813,0.771611,0.604430
-1.846163,0.127418,0.747471,0.613935
-1.751034,0.157962,0.728705,0.639437
-1.654843,0.185012,0.716651,0.662448
-1.557946,0.209404,0.701937,0.637944
-1.460626,0.232073,0.690439,0.627421
-1.362651,0.251676,0.666089,0.635802
-1.264223,0.268877,0.651056,0.661710
-1.165779,0.285984,0.635275,0.680455
-1.067108,0.301733,0.620715,0.695916
-0.968277,0.316448,0.621026,0.703963
-0.869366,0.330626,0.635244,0.722564
-0.770063,0.341649,0.647587,0.730477
-0.670580,0.350996,0.669082,0.742632
-0.570858,0.357231,0.691725,0.752006
-0.471048,0.361868,0.719423,0.770008
-0.371292,0.367441,0.742368,0.799296
-0.271416,0.370491,0.775258,0.837733
-0.171502,0.371952,0.817697,0.865299
-0.071587,0.373332,0.838568,0.892266
0.028279,0.376636,0.861802,0.914787
0.127956,0.383503,0.887672,0.935525
0.227053,0.395941,0.900059,0.950122
0.324510,0.417714,0.921710,0.965607
0.419507,0.448634,0.952433,0.981817
0.512335,0.485568,0.989151,0.990591
0.601983,0.529604,1.032990,0.994068
0.687335,0.581540,1.084840,0.998584
0.770031,0.637566,1.067628,1.008170
0.848975,0.698816,1.038698,1.002855
0.925511,0.763050,1.022587,1.001639
1.000129,0.829504,1.003936,0.999296
1.072909,0.897970,0.984556,1.002344
1.144380,0.967803,0.962227,0.986794
1.214270,1.039210,0.947744,0.959657
1.283699,1.111071,0.927410,0.939618
1.354484,1.181601,0.912670,0.914232
1.425557,1.251839,0.908333,0.892877
1.496436,1.322273,0.888860,0.873891
1.569430,1.390490,0.871944,0.852713
1.643874,1.457147,0.842729,0.830288
1.718408,1.523700,0.823331,0.797252
1.792977,1.590215,0.794240,0.764269
1.868023,1.656194,0.770537,0.737203
1.942014,1.723354,0.731159,0.717242
2.015781,1.790758,0.704191,0.699457
2.088151,1.859646,0.683475,0.666348
2.158480,1.930616,0.648892,0.634361
2.225809,2.004446,0.632571,0.612951
2.290552,2.080553,0.619176,0.603985
2.353027,2.158530,0.595931,0.593012
2.411640,2.239426,0.593783,0.577207
2.467755,2.322103,0.585889,0.558349
2.519015,2.407814,0.578862,0.545361
2.564508,2.496781,0.595411,0.531009
2.606709,2.587350,0.606925,0.522282
2.642656,2.680571,0.634691,0.499470
2.674510,2.775254,0.656357,0.491769
2.702485,2.871182,0.692218,0.500161
2.728163,2.967746,0.720164,0.525456
2.751596,3.064875,0.759912,0.548572
2.776899,3.161519,0.808467,0.573558
2.807204,3.256728,0.836002,0.603492
2.838392,3.351650,0.858901,0.647021
2.868812,3.446832,0.891235,0.693704
2.896214,3.542921,0.927008,0.744414
2.918300,3.640324,0.975910,0.800069
2.934052,3.738974,1.034803,0.858830
2.940323,3.838610,1.065703,0.917446
2.934948,3.938316,1.105302,0.973233
2.912856,4.035520,1.165991,1.005294
2.872138,4.126534,1.162243,1.027603
2.807230,4.201889,1.133160,1.030706
2.723188,4.255077,1.076614,1.008878
2.627990,4.284758,0.991525,0.966817
2.528878,4.296634,0.921531,0.916621
2.429003,4.296388,0.866643,0.856408
2.329481,4.287630,0.802671,0.795528
2.230758,4.272251,0.743032,0.730127
2.132815,4.252507,0.690712,0.660029
2.035463,4.229991,0.634787,0.592692
1.938051,4.207731,0.581402,0.535855
1.840460,4.186281,0.527729,0.493697
1.742072,4.168886,0.475238,0.473464
1.643365,4.153403,0.437644,0.457937
1.543848,4.144654,0.414171,0.449186
1.444237,4.136805,0.413232,0.441339
1.344790,4.127083,0.419865,0.450296
1.245444,4.116359,0.430561,0.472610
1.146256,4.104253,0.442637,0.482116
1.046686,4.095945,0.450928,0.504476
0.946963,4.089760,0.457104,0.522258
0.847115,4.086178,0.460681,0.539522
0.747294,4.089746,0.470457,0.543091
0.648373,4.103402,0.490879,0.556758
0.552601,4.131460,0.516167,0.584883
0.463400,4.176084,0.542232,0.629792
0.384594,4.237179,0.551645,0.623445
0.320919,4.313839,0.554703,0.585508
0.272385,4.401059,0.557232,0.569119
0.235245,4.493759,0.550009,0.582492
0.206706,4.589471,0.533349,0.576577
0.187192,4.687424,0.525850,0.588674
0.171339,4.786069,0.533494,0.595798
0.159854,4.885326,0.544971,0.614035
0.151207,4.984876,0.553613,0.630391
0.143830,5.084528,0.570596,0.649219
0.139382,5.184347,0.600006,0.673162
0.137025,5.284237,0.628920,0.697562
0.137045,5.384155,0.667104,0.725033
0.135679,5.484071,0.708783,0.763433
0.133220,5.583964,0.755115,0.811451
0.125203,5.683527,0.812211,0.857765
0.110879,5.782393,0.876956,0.887011
0.089806,5.880036,0.947692,0.917357
0.057265,5.974359,1.025789,0.946181
0.013219,6.063961,1.113710,0.972791
-0.042662,6.146657,1.079891,0.991770
-0.108687,6.221557,1.046266,0.998047
-0.185776,6.285036,1.037108,0.988430
-0.269099,6.340092,1.037951,0.972242
-0.356686,6.388095,1.048483,0.957928
-0.447768,6.429080,1.064467,0.946076
-0.541920,6.462437,1.091414,0.936468
-0.638104,6.489434,1.121449,0.930793
-0.735973,6.509573,1.160678,0.928766
-0.835032,6.522648,1.192168,0.930320
-0.934543,6.531631,1.234679,0.936659
-1.034360,6.535981,1.287486,0.940262
-1.133974,6.529187,1.349685,0.933464
-1.233129,6.516879,1.284377,0.931047
-1.330946,6.496809,1.211540,0.931468
-1.426805,6.468721,1.145282,0.934341
-1.519654,6.431988,1.083242,0.938724
-1.609026,6.387356,1.034002,0.945087
-1.694424,6.335560,0.992314,0.953775
-1.775641,6.277366,0.952649,0.954345
-1.852177,6.213192,0.924337,0.929518
-1.924810,6.144582,0.897205,0.903898
-1.995181,6.073642,0.878511,0.880848
-2.061562,5.998973,0.859663,0.863313
-2.126597,5.923129,0.849310,0.855352
-2.188000,5.844303,0.841590,0.843011
-2.247713,5.764204,0.839291,0.828563
-2.304441,5.681945,0.826902,0.821900
-2.359635,5.598653,0.820485,0.825501
-2.413052,5.514208,0.827810,0.838968
-2.465582,5.429208,0.823732,0.855184
-2.518405,5.344388,0.822375,0.868264
-2.572431,5.260330,0.822539,0.863311
-2.623911,5.174699,0.824247,0.859370
-2.675119,5.088895,0.827065,0.852382
-2.726449,5.003163,0.828437,0.853424
-2.780283,4.918982,0.829617,0.854056
-2.835719,4.835855,0.824826,0.842936
-2.890039,4.751983,0.826929,0.842247
-2.945089,4.668590,0.821289,0.854200
-2.999136,4.584552,0.825219,0.843890
-3.054317,4.501244,0.823214,0.835050
-3.108240,4.417126,0.817395,0.836623
-3.161554,4.332621,0.821170,0.828889
-3.215418,4.248466,0.816920,0.831245
-3.269534,4.164471,0.821298,0.823762
-3.323755,4.080545,0.816855,0.828478
-3.377753,3.996474,0.814702,0.840588
-3.431477,3.912230,0.823723,0.835189
-3.485516,3.828182,0.823833,0.834304
-3.539736,3.744246,0.812241,0.830829
-3.593556,3.660053,0.813335,0.838850
-3.647247,3.575778,0.817209,0.843759
-3.700830,3.491434,0.819946,0.842015
-3.754394,3.407078,0.822769,0.837161
-3.809129,3.323487,0.825475,0.838150
-3.862436,3.238968,0.817138,0.831780
-3.915441,3.154260,0.812161,0.832090
-3.968362,3.069499,0.819531,0.844211
-4.021411,2.984823,0.812325,0.825828
-4.074930,2.900450,0.809082,0.817407
-4.127211,2.815292,0.813498,0.819688
-4.179073,2.729880,0.813708,0.829440
-4.231169,2.644610,0.822279,0.821859
-4.283792,2.559663,0.814928,0.819539
-4.336460,2.474745,0.816496,0.813965
-4.389198,2.389870,0.830097,0.820694
-4.442097,2.305096,0.836811,0.824883
-4.495365,2.220552,0.839441,0.822541
-4.548918,2.136189,0.842716,0.832610
-4.602017,2.051545,0.846853,0.849272
-4.656153,1.967564,0.848274,0.848822
-4.709574,1.883118,0.853329,0.850197
-4.762914,1.798624,0.867798,0.863125
-4.817763,1.715104,0.863174,0.859385
