x_m,y_m,w_tr_right_m,w_tr_left_m
-4.195862,0.479876,0.776714,0.824907
-4.295531,0.486172,0.778356,0.831142
-4.395156,0.493115,0.792042,0.819555
-4.494518,0.502965,0.814185,0.807111
-4.593721,0.514423,0.824924,0.808535
-4.693069,0.524578,0.833384,0.818705
-4.792232,0.536406,0.821606,0.808208
-4.891273,0.549227,0.820107,0.800736
-4.990322,0.561939,0.819962,0.805559
-5.089660,0.572207,0.834308,0.815836
-5.188942,0.583005,0.824140,0.826644
-5.288201,0.593956,0.813226,0.811253
-5.387079,0.607979,0.801209,0.807228
-5.485966,0.621935,0.801617,0.815439
-5.584983,0.634896,0.815348,0.828398
-5.684426,0.644085,0.812578,0.818276
-5.783889,0.653032,0.803642,0.810925
-5.883043,0.664950,0.795828,0.812322
-5.982231,0.676573,0.800790,0.820316
-6.081680,0.685506,0.820622,0.829235
-6.181278,0.692804,0.813697,0.828173
-6.280551,0.703677,0.804986,0.813217
-6.379800,0.714781,0.800272,0.810615
-6.479103,0.725363,0.808488,0.810645
-6.578739,0.732156,0.824581,0.793205
-6.678210,0.740847,0.815881,0.790035
-6.777471,0.751833,0.804882,0.796487
-6.876724,0.762900,0.793801,0.807576
-6.976294,0.770600,0.794627,0.815285
-7.075639,0.780607,0.805610,0.825309
-7.174671,0.793495,0.813830,0.838227
-7.273623,0.806982,0.800311,0.851748
-7.372585,0.820402,0.786859,0.865202
-7.471643,0.833091,0.774143,0.877920
-7.570869,0.844374,0.762838,0.868146
-7.670123,0.855342,0.759892,0.856205
-7.769296,0.867100,0.759344,0.837098
-7.868628,0.877409,0.773258,0.828195
-7.968145,0.885749,0.772300,0.829310
-8.067838,0.891591,0.766487,0.807644
-8.167461,0.898528,0.759587,0.797115
-8.267169,0.904142,0.754002,0.797702
-8.366968,0.907796,0.750368,0.798158
-8.466823,0.909137,0.749028,0.771511
-8.566682,0.909465,0.748694,0.756189
-8.666531,0.907922,0.750226,0.752025
-8.766385,0.906262,0.751875,0.750362
-8.866238,0.904550,0.753575,0.748648
-8.966087,0.904066,0.767106,0.748160
-9.065867,0.907817,0.789034,0.751902
-9.165579,0.913385,0.793696,0.757456
-9.265331,0.918173,0.788919,0.762234
-9.365118,0.922181,0.784921,0.776476
-9.464933,0.925408,0.781703,0.802238
-9.564770,0.927853,0.779265,0.822847
-9.664546,0.932033,0.777512,0.838930
-9.764348,0.935512,0.789196,0.865637
-9.864183,0.937717,0.814283,0.901499
-9.964038,0.938819,0.817754,0.945618
-10.063904,0.939247,0.817328,0.997258
-10.163721,0.936377,0.820199,1.044303
-10.263469,0.931555,0.829687,1.082506
-10.363000,0.923496,0.853979,1.125429
-10.462011,0.910626,0.893275,1.171124
-10.559923,0.891118,0.915401,1.217548
-10.656091,0.864285,0.947724,1.263730
-10.750628,0.832195,0.993938,1.307898
-10.841608,0.791130,1.055304,1.343242
-10.926507,0.738660,1.117860,1.366202
-11.004286,0.676156,1.182482,1.379414
-11.071711,0.602710,1.261417,1.384759
-11.126311,0.519269,1.287241,1.381009
-11.170317,0.429696,1.256487,1.372210
-11.205247,0.336191,1.226372,1.360753
-11.232135,0.240050,1.206956,1.348109
-11.249673,0.141790,1.202482,1.326906
-11.261917,0.042684,1.211614,1.301526
-11.271020,-0.056763,1.205911,1.272224
-11.278518,-0.156348,1.204493,1.248652
-11.285499,-0.255968,1.211851,1.232229
-11.292315,-0.355590,1.227476,1.223596
-11.304663,-0.454677,1.222770,1.228628
-11.318167,-0.553627,1.216761,1.226142
-11.330790,-0.652693,1.217995,1.224292
-11.344133,-0.751654,1.220690,1.223584
-11.358051,-0.850547,1.219337,1.231577
-11.370578,-0.949624,1.207522,1.244119
-11.381031,-1.048940,1.205991,1.254582
-11.389285,-1.148466,1.214903,1.262844
-11.397197,-1.248019,1.229711,1.258044
-11.404476,-1.347621,1.224645,1.244849
-11.410590,-1.447299,1.228873,1.238416
-11.419057,-1.546805,1.238815,1.234576
-11.424147,-1.646542,1.252557,1.220157
-11.429564,-1.746263,1.247141,1.214136
-11.434718,-1.845995,1.241987,1.211086
-11.443319,-1.945492,1.237092,1.216692
-11.452126,-2.044970,1.240039,1.225493
-11.458992,-2.144586,1.252895,1.232356
-11.464720,-2.244289,1.262074,1.217612
-11.472687,-2.343818,1.254102,1.207629
-11.483557,-2.443092,1.243225,1.208772
-11.495235,-2.542275,1.236679,1.218934
-11.507213,-2.641421,1.237877,1.230888
-11.518989,-2.740592,1.247300,1.242642
-11.530057,-2.839844,1.247050,1.253690
-11.539908,-2.939224,1.237187,1.263526
-11.548025,-3.038759,1.235618,1.270797
-11.553882,-3.138452,1.240361,1.252675
-11.561264,-3.238045,1.247840,1.243867
-11.564783,-3.337846,1.262878,1.239176
-11.567975,-3.437663,1.259741,1.242194
-11.570545,-3.537497,1.265128,1.234489
-11.573780,-3.637298,1.277660,1.219278
-11.578966,-3.737031,1.295879,1.209476
-11.584001,-3.836771,1.294622,1.207728
-11.588539,-3.936536,1.299368,1.212269
-11.592233,-4.036334,1.312556,1.217406
-11.596114,-4.136119,1.330619,1.230834
-11.607150,-4.235360,1.319588,1.258983
-11.620178,-4.334373,1.309551,1.296090
-11.632223,-4.433510,1.308077,1.338751
