x_m,y_m,w_tr_right_m,w_tr_left_m
7.120076,2.847766,0.813249,0.729273
7.217917,2.827934,0.809052,0.729301
7.315653,2.807584,0.816599,0.736538
7.412959,2.785292,0.819812,0.753023
7.510137,2.762433,0.826410,0.747182
7.606711,2.737142,0.823679,0.755472
7.703174,2.711499,0.817631,0.776962
7.798674,2.682416,0.805376,0.801955
7.894174,2.653331,0.797049,0.803678
7.989234,2.622828,0.799693,0.807338
8.084125,2.591801,0.811193,0.812750
8.178665,2.559723,0.792790,0.814608
8.273693,2.529168,0.786337,0.809876
8.368864,2.499050,0.792962,0.803481
8.464403,2.470094,0.810227,0.798880
8.559796,2.440679,0.812474,0.807180
8.654862,2.410196,0.821063,0.808618
8.750786,2.382631,0.818307,0.800559
8.847374,2.357397,0.823097,0.784076
8.943668,2.331067,0.825744,0.781254
9.040100,2.305279,0.831654,0.777976
9.136009,2.277598,0.847422,0.778331
9.233154,2.254628,0.851296,0.774083
9.330778,2.233777,0.864740,0.769136
9.428758,2.214676,0.890955,0.775318
9.527329,2.198852,0.926350,0.774965
9.626345,2.186160,0.965049,0.763792
9.725469,2.174271,0.942126,0.764775
9.825022,2.166978,0.906007,0.752250
9.924721,2.161939,0.877425,0.735219
10.024544,2.162246,0.848725,0.726189
10.124295,2.166287,0.834813,0.722153
10.223905,2.172875,0.833108,0.715574
10.323542,2.179123,0.811174,0.709334
10.422984,2.187892,0.803696,0.700579
10.522646,2.193640,0.799011,0.694839
10.622059,2.202755,0.781251,0.685740
10.721435,2.212247,0.776406,0.676267
10.820585,2.223868,0.774255,0.669492
10.920019,2.232764,0.757932,0.669760
11.019380,2.242414,0.755332,0.680193
11.118721,2.251873,0.747495,0.704920
11.217802,2.264118,0.736257,0.739828
11.316815,2.276893,0.739000,0.762650
11.415548,2.291657,0.732589,0.759699
11.513812,2.309254,0.728795,0.766954
11.611214,2.331082,0.742839,0.782716
11.707249,2.358180,0.745112,0.805368
11.800150,2.394663,0.759288,0.830084
11.890096,2.437933,0.772985,0.858808
11.976095,2.488585,0.806830,0.883771
12.057327,2.546546,0.846507,0.900216
12.133848,2.610596,0.894550,0.914947
12.203511,2.682004,0.953297,0.926466
12.263396,2.761731,1.011122,0.929487
12.313266,2.848122,1.070130,0.928166
12.352673,2.939774,1.044506,0.918840
12.383733,3.034576,1.036864,0.911379
12.404074,3.132251,1.021998,0.903709
12.415002,3.231454,1.011063,0.897489
12.417829,3.331229,0.994884,0.888109
12.416753,3.431040,0.973842,0.860468
12.411035,3.530708,0.967379,0.839196
12.402224,3.630145,0.974274,0.826378
12.393773,3.729619,0.982706,0.817919
12.382618,3.828813,0.975724,0.814725
12.369487,3.927773,0.964480,0.821735
12.353211,4.026257,0.951224,0.837530
12.337503,4.124846,0.941488,0.865184
12.322888,4.223601,0.927810,0.883269
12.306474,4.322072,0.917670,0.893305
12.286701,4.419919,0.910530,0.908255
12.263233,4.516945,0.906329,0.923791
12.232842,4.611967,0.911629,0.937614
12.195202,4.704417,0.921043,0.946030
12.151117,4.793966,0.942186,0.957835
12.100566,4.880013,0.964816,0.972564
12.043352,4.961769,1.001055,0.984900
11.977675,5.036799,1.034039,0.991151
11.903282,5.103290,0.985041,0.985553
11.821152,5.159920,0.928433,0.974712
11.733533,5.207745,0.880836,0.956153
11.641721,5.246833,0.844338,0.938142
11.546858,5.277899,0.823632,0.921976
11.450321,5.303314,0.812341,0.900616
11.353396,5.327228,0.814783,0.885480
11.256652,5.351875,0.828586,0.874810
11.160647,5.379213,0.831243,0.878225
11.065558,5.409561,0.818343,0.885504
10.972728,5.446267,0.810771,0.892158
10.883256,5.490489,0.807225,0.915432
10.797314,5.541265,0.808569,0.882100
10.713745,5.595854,0.817697,0.848235
10.632165,5.653379,0.834767,0.828626
10.552768,5.713897,0.848151,0.824478
10.472928,5.773833,0.862265,0.831644
10.393309,5.834061,0.876123,0.850905
10.312261,5.892342,0.903192,0.857218
10.229119,5.947592,0.943455,0.860969
10.142911,5.997898,0.997017,0.870426
10.053424,6.042092,1.062522,0.884279
9.960612,6.078673,1.085732,0.900909
9.864413,6.105017,1.042786,0.917641
9.766048,6.121880,1.017291,0.934561
9.666540,6.128776,1.010419,0.941472
9.566747,6.126756,1.012443,0.939462
9.467182,6.119510,0.993938,0.932244
9.367669,6.111571,0.984400,0.924337
9.268607,6.099368,0.989214,0.912193
9.169576,6.086863,0.998695,0.899753
9.070705,6.073029,0.986738,0.886292
8.971503,6.061859,0.977452,0.886652
8.872107,6.052526,0.962080,0.899995
8.772896,6.041393,0.958740,0.919168
8.673619,6.030961,0.945485,0.932724
8.574325,6.020608,0.932684,0.932357
8.475472,6.006683,0.934074,0.922717
8.376809,5.991450,0.930540,0.922509
8.278267,5.975479,0.924995,0.932304
8.179856,5.958694,0.931013,0.943096
8.081506,5.941590,0.944104,0.953084
7.983487,5.922791,0.942773,0.960680
7.886073,5.900963,0.941774,0.967203
7.788818,5.878432,0.935688,0.969836
7.691990,5.854119,0.942044,0.967428
7.594767,5.831456,0.940968,0.955482
7.497106,5.810763,0.944860,0.955908
7.399539,5.789614,0.943476,0.966239
7.302354,5.766776,0.940921,0.984935
7.204969,5.744828,0.939346,0.997867
7.107800,5.721931,0.938217,1.008532
7.010749,5.698540,0.947357,1.028328
6.914182,5.673238,0.949898,1.055352
6.818566,5.644535,0.957558,1.075950
6.723547,5.613908,0.957247,1.084132
6.629210,5.581277,0.969382,1.090251
6.535391,5.547148,0.986148,1.101801
6.440817,5.515213,0.998517,1.124387
6.346689,5.481943,1.011696,1.144012
6.252386,5.449187,1.016811,1.111133
6.158266,5.415906,1.032152,1.077749
6.063393,5.384837,1.054499,1.046610
5.968382,5.354201,1.059540,1.015928
5.872205,5.327460,1.069346,0.989167
5.775048,5.304508,1.062929,0.966208
5.677074,5.285362,1.048717,0.947063
5.578480,5.269681,1.040380,0.931385
5.479638,5.255653,1.039921,0.917360
5.380419,5.244691,1.027896,0.906403
5.280809,5.238065,1.016055,0.899779
5.181092,5.233333,0.989737,0.895048
5.081401,5.228102,0.973494,0.889819
4.981789,5.221563,0.968643,0.883283
4.882358,5.212749,0.976318,0.874473
4.782834,5.204914,0.963944,0.866642
4.683368,5.196350,0.952493,0.858082
4.583734,5.190085,0.949131,0.856762
4.484159,5.182894,0.932034,0.866095
4.384874,5.172535,0.923844,0.883556
4.285680,5.161272,0.927306,0.898110
4.186764,5.147779,0.919287,0.906921
4.087706,5.135381,0.914671,0.924086
3.988873,5.121287,0.907982,0.934288
3.889866,5.108493,0.899061,0.932065
3.790911,5.095495,0.883563,0.940285
3.692564,5.078348,0.876001,0.952053
3.594095,5.061932,0.879037,0.960840
3.496160,5.042572,0.896213,0.974311
3.398414,5.022277,0.901880,0.996722
3.301295,4.999334,0.902319,1.025814
3.205297,4.971943,0.918233,1.051162
3.109727,4.943090,0.927388,1.080493
3.014654,4.912666,0.937250,1.109237
2.921082,4.877866,0.961925,1.135584
2.827771,4.842372,0.985175,1.169198
2.736015,4.803054,1.005498,1.206398
2.644195,4.763874,1.030339,1.243328
2.552216,4.725063,1.041927,1.270130
2.459240,4.688727,1.060216,1.294929
2.364844,4.656252,1.083468,1.330614
2.269733,4.625983,1.092215,1.365668
2.172449,4.603609,1.097150,1.404149
2.074378,4.584936,1.101817,1.441560
1.975619,4.570410,1.091211,1.437098
1.876232,4.560978,1.084550,1.359985
1.776597,4.554675,1.083922,1.288206
1.676777,4.555685,1.076593,1.226078
1.576947,4.555746,1.052655,1.168387
1.477127,4.557141,1.034434,1.117824
1.377297,4.557865,1.010380,1.073568
1.277482,4.558373,0.996015,1.035865
1.177669,4.558791,0.966187,0.998080
1.077967,4.554222,0.948363,0.953285
0.978757,4.543398,0.947119,0.906016
0.879675,4.531175,0.939569,0.866365
0.780661,4.518450,0.931327,0.836315
0.681565,4.506396,0.933072,0.818099
0.582384,4.494995,0.921588,0.806701
0.482974,4.485824,0.906347,0.797532
0.383663,4.475618,0.887674,0.787330
0.284277,4.466302,0.879106,0.783788
0.184954,4.456459,0.880079,0.792372
0.086065,4.442766,0.866286,0.804588
-0.012651,4.427866,0.853884,0.797573
-0.111473,4.413769,0.841892,0.802681
-0.210494,4.401052,0.836189,0.810970
-0.309273,4.386689,0.825747,0.798957
-0.407778,4.370511,0.828101,0.782735
-0.506440,4.355263,0.817069,0.777454
-0.604971,4.339180,0.810414,0.784102
-0.703858,4.325516,0.796371,0.788527
-0.802408,4.309645,0.791081,0.784672
-0.900905,4.293377,0.798735,0.793062
-0.999259,4.276283,0.787515,0.790387
-1.097788,4.260202,0.779863,0.788336
-1.196508,4.245378,0.764575,0.800106
-1.294699,4.227458,0.765299,0.808934
-1.392849,4.209234,0.775192,0.818825
-1.490759,4.189798,0.766581,0.824776
-1.587761,4.166192,0.775141,0.830740
