x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
12.276292,7.099984,1.7681,1.0944,2.671646,0.047407,3.8807
12.045328,7.215530,1.6887,1.1525,2.681904,0.032337,4.0000
11.813111,7.329287,1.5985,1.2017,2.690162,0.031363,4.0000
11.578384,7.441913,1.5295,1.2676,2.695944,0.013325,4.0000
11.344321,7.553227,1.4558,1.3199,2.698512,0.006466,4.0000
11.111321,7.663558,1.3743,1.3600,2.699901,0.004279,4.0000
10.878420,7.773528,1.3029,1.4098,2.700402,-0.000395,4.0000
10.645304,7.883628,1.2356,1.4637,2.700180,-0.001317,4.0000
10.410646,7.994554,1.1578,1.5103,2.698525,-0.011416,4.0000
10.175713,8.106465,1.0702,1.5570,2.694282,-0.021242,4.0000
9.941638,8.219557,1.0009,1.6233,2.689137,-0.018185,4.0000
9.706293,8.334644,0.9260,1.6906,2.681040,-0.044179,4.0000
9.474463,8.451340,0.8511,1.7644,2.662797,-0.100278,4.0000
9.255554,8.568615,0.7610,1.8237,2.628981,-0.181699,4.0000
9.058902,8.685215,0.6620,1.8636,2.581753,-0.235079,4.0000
8.884597,8.801103,0.6107,1.9314,2.533353,-0.215216,4.0000
8.723344,8.918864,0.5985,2.0166,2.493743,-0.170855,3.9881
8.565937,9.042270,0.5930,2.0902,2.455720,-0.215972,3.6658
8.418331,9.168493,0.6455,2.2105,2.407581,-0.295428,3.4039
8.288535,9.292533,0.6888,2.3058,2.349154,-0.357279,3.1449
8.175695,9.414570,0.7835,2.4372,2.284053,-0.420517,2.7902
8.077176,9.536820,0.8768,2.5514,2.211348,-0.503081,2.4377
7.992208,9.660729,0.9509,2.6347,2.127151,-0.673201,2.1768
7.927959,9.776764,1.0314,2.7171,2.020677,-0.942229,1.9856
7.883229,9.886402,1.0848,2.7621,1.888426,-1.237520,1.7979
7.855827,9.996169,1.1169,2.7831,1.737677,-1.463003,1.6535
7.846817,10.102564,1.1403,2.7936,1.568156,-1.693330,1.5369
7.856381,10.205684,1.1425,2.7833,1.385697,-1.819342,1.4828
7.884587,10.304284,1.1376,2.7671,1.198920,-1.785836,1.4966
7.931532,10.398370,1.0505,2.6684,1.020045,-1.486122,1.6406
8.001267,10.494273,0.9165,2.5179,0.871070,-1.051197,1.8447
