x_m,y_m,w_tr_right_m,w_tr_left_m
12.646983,-2.296998,0.394893,0.350099
12.746140,-2.307963,0.391102,0.361011
12.845556,-2.316281,0.382776,0.387598
12.945164,-2.321504,0.399192,0.413909
13.044916,-2.320926,0.428950,0.451346
13.144453,-2.314890,0.434990,0.486547
13.243012,-2.299829,0.450812,0.521132
13.339260,-2.273978,0.496522,0.554925
13.431111,-2.235378,0.563386,0.583035
13.515805,-2.182860,0.616432,0.604809
13.590840,-2.117476,0.674303,0.611582
13.649670,-2.037175,0.641191,0.598334
13.692114,-1.947129,0.636531,0.579294
13.716410,-1.850544,0.655340,0.557764
13.725636,-1.751315,0.699008,0.526348
13.725347,-1.651587,0.692177,0.498613
13.716115,-1.552296,0.628497,0.449680
13.699285,-1.453980,0.570608,0.406871
13.676643,-1.356827,0.517164,0.379827
13.649356,-1.260886,0.468229,0.359967
13.620304,-1.165448,0.421188,0.352496
13.591115,-1.070057,0.384136,0.345220
13.562048,-0.974628,0.370848,0.341243
13.534339,-0.878806,0.363614,0.340100
13.513368,-0.781298,0.345612,0.348348
13.499912,-0.682497,0.348308,0.353356
13.498316,-0.582757,0.349898,0.351772
13.505818,-0.483288,0.344103,0.359272
13.525012,-0.385459,0.342921,0.378565
13.555365,-0.290523,0.358846,0.409238
13.599013,-0.200857,0.368309,0.440139
13.655778,-0.118935,0.372448,0.434406
13.724608,-0.046913,0.373095,0.401044
13.804070,0.013119,0.359304,0.358528
13.891581,0.060902,0.330912,0.340139
13.982831,0.101171,0.314604,0.322700
14.076237,0.136207,0.294064,0.338447
14.170334,0.169346,0.279870,0.346061
14.264501,0.202289,0.299949,0.367209
14.357592,0.238148,0.335661,0.408362
14.448514,0.279159,0.376707,0.443733
14.535473,0.327923,0.430260,0.470217
14.612927,0.390534,0.496227,0.480599
14.680197,0.464072,0.580296,0.476165
14.735007,0.547252,0.592040,0.475453
14.776135,0.638059,0.584077,0.479832
14.807403,0.732764,0.583843,0.475313
14.834090,0.828871,0.580448,0.486776
14.856446,0.926093,0.590261,0.509239
14.875714,1.023974,0.606099,0.528584
14.891768,1.122429,0.624343,0.548020
14.904080,1.221419,0.653195,0.580649
14.911889,1.320868,0.684406,0.623722
14.915394,1.420562,0.715008,0.666299
14.912218,1.520202,0.753604,0.701430
14.896626,1.618666,0.809433,0.735122
14.869619,1.714579,0.870836,0.769738
14.827285,1.804714,0.873548,0.800363
14.769591,1.885887,0.820916,0.816920
14.700956,1.958174,0.780347,0.819499
14.623779,2.021223,0.758008,0.809497
14.540162,2.075569,0.752361,0.792739
14.452042,2.122265,0.749012,0.771599
14.361774,2.164678,0.734242,0.758225
