# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
7.6; 1.878; -0.1; 3.2; 5.3; -0.1; 5.5; 11.4; 3.1; 5.1; 5.9; 3.1; 9.4; 12.0
7.8; 1.927; -0.1; 3.2; 5.3; -0.1; 5.5; 11.4; 3.1; 5.1; 5.9; 3.1; 9.4; 12.0
8.0; 1.977; -0.1; 3.2; 5.3; -0.1; 5.5; 11.4; 3.0; 5.1; 5.9; 3.0; 9.4; 12.0
8.2; 2.026; -0.1; 3.2; 5.3; -0.1; 5.5; 11.4; 3.0; 5.1; 5.9; 3.0; 9.4; 12.0
8.4; 2.074; -0.1; 3.2; 5.3; -0.1; 5.5; 11.4; 3.0; 5.1; 5.9; 3.0; 9.4; 12.0
8.6; 2.123; -0.1; 3.2; 5.3; -0.1; 5.3; 11.3; 3.1; 5.1; 5.9; 3.1; 9.4; 12.0
8.8; 2.171; -0.1; 3.1; 5.4; -0.1; 5.1; 11.3; 3.2; 5.1; 6.0; 3.2; 9.3; 11.9
9.0; 2.218; -0.1; 2.9; 5.4; -0.1; 4.8; 11.2; 3.3; 5.1; 6.1; 3.3; 9.2; 11.9
9.2; 2.265; -0.1; 2.7; 5.4; -0.1; 4.5; 11.0; 3.5; 5.2; 6.2; 3.5; 9.1; 11.9
9.4; 2.311; -0.1; 2.3; 5.5; -0.1; 3.9; 10.8; 3.9; 5.2; 6.5; 3.9; 8.7; 11.8
9.6; 2.357; -0.1; 1.4; 5.7; -0.1; 2.6; 10.1; 5.1; 5.1; 7.2; 5.1; 7.8; 11.6
9.8; 2.401; -0.1; -0.3; 6.2; -0.1; 0.3; 7.7; 9.2; 2.5; 9.6; 9.2; 3.1; 11.1
10.0; 2.444; -4.9; -2.8; 9.8; -4.9; -1.9; 7.8; 5.7; -2.1; 9.5; 5.7; -1.9; 7.5
10.2; 2.489; -10.2; -3.8; 13.4; -10.2; -2.9; 10.6; -3.2; -3.4; 6.7; -3.2; -2.2; 3.9
10.4; 2.537; -9.6; -3.8; 13.5; -9.6; -2.9; 10.0; -2.7; -4.7; 7.3; -2.7; -2.6; 3.8
10.6; 2.591; -9.2; -3.5; 13.5; -9.2; -2.9; 9.7; -2.4; -5.4; 7.6; -2.4; -2.9; 3.8
10.8; 2.650; -9.0; -3.2; 13.5; -9.0; -2.8; 9.5; -2.2; -5.9; 7.8; -2.2; -3.1; 3.8
11.0; 2.715; -1.7; -4.0; 12.1; -1.7; -2.9; 7.3; -1.7; -7.3; 10.0; -1.7; -4.1; 5.1
11.2; 2.781; -0.1; -5.0; 10.8; -0.1; -2.7; 5.3; 4.1; -8.3; 11.9; 4.1; -5.0; 6.4
11.4; 2.845; -0.1; -5.0; 10.7; -0.1; -2.7; 5.3; 4.3; -8.0; 11.9; 4.3; -4.9; 6.5
11.6; 2.907; -0.1; -5.0; 10.7; -0.1; -2.7; 5.3; 4.5; -7.8; 12.0; 4.5; -4.8; 6.6
11.8; 2.967; -0.1; -5.0; 10.6; -0.1; -2.7; 5.3; 4.7; -7.6; 12.0; 4.7; -4.8; 6.7
12.0; 3.026; -0.1; -5.0; 10.6; -0.1; -2.7; 5.3; 4.7; -7.6; 12.0; 4.7; -4.7; 6.7
12.2; 3.082; -0.1; -5.0; 10.6; -0.1; -2.7; 5.3; 4.8; -7.6; 12.0; 4.8; -4.7; 6.7
12.4; 3.136; -0.1; -4.8; 10.5; -0.1; -2.6; 5.3; 4.9; -7.5; 11.9; 4.9; -4.7; 6.8
12.6; 3.189; -0.1; -4.3; 10.3; -0.1; -2.5; 5.4; 5.2; -7.1; 11.9; 5.2; -4.6; 7.0
12.8; 3.239; -0.1; -3.7; 9.9; -0.1; -2.2; 5.5; 6.0; -6.4; 11.8; 6.0; -4.4; 7.4
13.0; 3.287; -0.1; -2.7; 9.1; -0.1; -1.8; 5.7; 7.2; -5.0; 11.6; 7.2; -3.7; 8.1
13.2; 3.332; -0.1; -1.7; 8.2; -0.1; -1.3; 5.9; 8.7; -3.1; 11.3; 8.7; -2.6; 9.1
13.4; 3.374; -0.1; -0.8; 7.4; -0.1; -0.7; 6.3; 9.8; -1.6; 11.0; 9.8; -1.4; 9.9
13.6; 3.414; -0.1; -0.1; 6.8; -0.1; -0.1; 6.6; 10.5; -0.4; 10.7; 10.5; -0.4; 10.5
13.8; 3.452; -0.1; 0.5; 6.4; -0.1; 0.6; 7.1; 10.2; 0.6; 10.2; 10.2; 0.6; 10.9
14.0; 3.489; -0.1; 1.5; 6.0; -0.1; 1.9; 8.0; 9.1; 1.9; 9.3; 9.1; 2.2; 11.3
14.2; 3.524; -0.1; 2.2; 5.7; -0.1; 3.4; 9.0; 7.8; 3.1; 8.3; 7.8; 3.9; 11.6
14.4; 3.559; -0.1; 2.6; 5.4; -0.1; 4.4; 9.7; 6.5; 3.8; 7.6; 6.5; 5.4; 11.9
14.6; 3.593; -0.1; 2.7; 5.4; -0.1; 4.9; 10.2; 5.7; 4.3; 7.1; 5.7; 6.5; 11.9
14.8; 3.627; -0.1; 2.7; 5.4; -0.1; 4.9; 10.4; 5.2; 4.5; 6.9; 5.2; 7.1; 11.9
15.0; 3.661; -0.1; 2.8; 5.3; -0.1; 5.1; 10.6; 4.8; 4.6; 6.7; 4.8; 7.6; 12.0
15.2; 3.695; -0.1; 2.9; 5.3; -0.1; 5.3; 10.8; 4.4; 4.7; 6.5; 4.4; 7.9; 12.0
15.4; 3.729; -1.2; 3.0; 5.7; -1.2; 5.2; 11.2; 4.0; 4.6; 6.1; 4.0; 8.0; 11.6
15.6; 3.763; -2.6; 3.1; 6.1; -2.6; 5.0; 11.5; 3.6; 4.5; 5.8; 3.6; 8.0; 11.2
15.8; 3.797; -0.8; 3.2; 6.8; -0.8; 4.8; 12.1; -0.8; 4.2; 5.2; -0.8; 7.8; 10.5
16.0; 3.832; -2.4; 3.2; 7.0; -2.4; 4.5; 12.3; -0.3; 4.1; 5.0; -0.3; 7.8; 10.3
16.2; 3.867; -5.2; 3.0; 6.9; -5.2; 4.1; 12.3; 2.8; 4.2; 5.0; 2.8; 8.0; 10.4
16.4; 3.902; -6.0; 2.9; 7.1; -6.0; 3.7; 12.5; 2.6; 4.1; 4.8; 2.6; 8.0; 10.2
16.6; 3.938; -6.8; 2.8; 7.4; -6.8; 3.2; 12.7; 2.3; 3.9; 4.6; 2.3; 7.9; 9.9
16.8; 3.974; -7.0; 2.8; 7.7; -7.0; 2.7; 13.0; 1.0; 3.8; 4.3; 1.0; 7.7; 9.6
17.0; 4.011; -5.9; 3.1; 8.2; -5.9; 2.6; 13.3; -1.9; 3.5; 4.0; -1.9; 7.4; 9.1
17.2; 4.049; -5.4; 3.2; 8.0; -5.4; 2.6; 13.2; -1.9; 3.6; 4.1; -1.9; 7.6; 9.2
17.4; 4.088; -4.7; 3.3; 7.8; -4.7; 2.7; 13.1; -1.9; 3.7; 4.2; -1.9; 7.8; 9.5
17.6; 4.128; -3.7; 3.5; 7.6; -3.7; 3.1; 13.0; -1.9; 3.9; 4.3; -1.9; 8.1; 9.7
17.8; 4.170; -2.5; 3.7; 7.2; -2.5; 3.6; 12.8; -2.0; 4.1; 4.5; -2.0; 8.3; 10.0
18.0; 4.214; -1.5; 3.8; 6.8; -1.5; 4.1; 12.5; -1.5; 4.3; 4.8; -1.5; 8.7; 10.4
