x_m,y_m,w_tr_right_m,w_tr_left_m
4.313349,-2.186372,0.994199,0.813560
4.413274,-2.187999,1.046415,0.797329
4.512880,-2.180108,1.096024,0.783930
4.611233,-2.162513,1.095166,0.773367
4.707752,-2.136595,1.023245,0.767123
4.801269,-2.101543,0.951761,0.764259
4.890885,-2.057329,0.893814,0.764489
4.976359,-2.005486,0.851641,0.769096
5.057361,-1.946950,0.818562,0.769673
5.133463,-1.882191,0.791156,0.771935
5.205589,-1.812981,0.763725,0.773998
5.273945,-1.740067,0.736283,0.769192
5.338582,-1.663812,0.726742,0.742654
5.399530,-1.584567,0.710442,0.716112
5.458502,-1.503855,0.687029,0.700460
5.515053,-1.421427,0.677413,0.682092
5.569771,-1.337765,0.671057,0.661533
5.622293,-1.252703,0.675400,0.652443
5.671571,-1.165732,0.677146,0.654840
5.719672,-1.078099,0.683490,0.665650
5.767152,-0.990126,0.691245,0.675833
5.813955,-0.901788,0.698342,0.675355
5.860168,-0.813140,0.694633,0.667415
5.906472,-0.724542,0.685666,0.668542
5.951774,-0.635436,0.678437,0.673111
5.996028,-0.545792,0.679517,0.680065
6.041923,-0.456977,0.687981,0.683921
6.088857,-0.368718,0.691983,0.676307
6.135471,-0.280290,0.683048,0.672981
6.181672,-0.191644,0.686104,0.677516
6.226025,-0.102049,0.687630,0.676771
6.272163,-0.013370,0.679376,0.647642
6.319200,0.074837,0.684744,0.634138
6.366316,0.163007,0.677463,0.636332
6.412654,0.251579,0.668317,0.653133
6.459894,0.339686,0.663116,0.638741
6.505590,0.428592,0.661872,0.628077
6.552468,0.516891,0.669129,0.634529
6.598763,0.605498,0.652047,0.645021
6.643314,0.694983,0.640185,0.651194
6.687724,0.784537,0.643967,0.657639
6.732521,0.873904,0.658493,0.662015
6.778023,0.962921,0.659354,0.631023
6.823685,1.051855,0.636645,0.601509
6.869462,1.140731,0.629058,0.583837
6.915298,1.229577,0.628450,0.583082
6.962321,1.317789,0.606989,0.600544
7.007556,1.406942,0.603605,0.612291
7.052761,1.496110,0.616661,0.614848
7.097886,1.585319,0.626829,0.617947
7.142884,1.674592,0.627058,0.622702
7.187706,1.763953,0.636759,0.628139
7.231002,1.854054,0.640347,0.616363
