x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.903656,5.497268,0.0,0.0,-2.595134,0.649865,2.813535
0.740975,5.382729,0.0,0.0,-2.458817,0.721443,2.710750
0.596493,5.246055,0.0,0.0,-2.305797,0.820603,2.633719
0.476438,5.088024,0.0,0.0,-2.131309,0.932515,2.602573
0.386738,4.910379,0.0,0.0,-1.945006,0.946591,2.573220
0.332190,4.719426,0.0,0.0,-1.750862,1.013417,2.571244
0.316775,4.522208,0.0,0.0,-1.548885,0.952519,2.569266
0.338617,4.324786,0.0,0.0,-1.378516,0.766656,2.599042
0.390571,4.132331,0.0,0.0,-1.240402,0.620478,2.711067
0.464813,3.948149,0.0,0.0,-1.143947,0.347010,2.861791
0.551734,3.769166,0.0,0.0,-1.102696,0.068541,3.116451
0.641321,3.590917,0.0,0.0,-1.116811,-0.212931,2.940306
0.723036,3.409467,0.0,0.0,-1.188265,-0.507047,2.734310
0.785896,3.221314,0.0,0.0,-1.317944,-0.780206,2.638329
0.820114,3.024902,0.0,0.0,-1.481745,-0.872346,2.561788
0.819673,2.826426,0.0,0.0,-1.669293,-1.022482,2.559820
0.780004,2.633140,0.0,0.0,-1.874046,-0.944476,2.557851
0.704723,2.449307,0.0,0.0,-2.036700,-0.698220,2.596093
0.603976,2.276842,0.0,0.0,-2.155577,-0.482446,2.742768
0.488472,2.115030,0.0,0.0,-2.212893,-0.091094,2.955155
0.370062,1.955333,0.0,0.0,-2.191656,0.303405,2.730073
0.260731,1.787989,0.0,0.0,-2.097467,0.610038,2.511811
0.172979,1.609177,0.0,0.0,-1.946400,0.915282,2.390890
0.119564,1.419483,0.0,0.0,-1.734296,1.173878,2.389053
0.109213,1.221881,0.0,0.0,-1.516688,1.031903,2.387215
0.139837,1.024911,0.0,0.0,-1.318575,0.967282,2.452763
0.207577,0.837891,0.0,0.0,-1.130530,0.895925,2.521356
0.307226,0.666090,0.0,0.0,-0.963507,0.786444,2.597514
0.432609,0.511819,0.0,0.0,-0.815980,0.700246,2.700233
0.578090,0.376516,0.0,0.0,-0.685152,0.616068,2.813251
0.739237,0.259886,0.0,0.0,-0.570357,0.539615,2.937347
0.911910,0.161276,0.0,0.0,-0.469575,0.473915,3.070516
1.093098,0.079358,0.0,0.0,-0.381811,0.408980,3.209607
1.280450,0.012415,0.0,0.0,-0.306540,0.348613,3.357855
1.471879,-0.041345,0.0,0.0,-0.242940,0.290996,3.515635
1.666232,-0.083967,0.0,0.0,-0.190707,0.234258,3.684485
1.862318,-0.117459,0.0,0.0,-0.149298,0.183363,3.867170
2.059494,-0.143776,0.0,0.0,-0.117704,0.134313,4.062845
2.257344,-0.164817,0.0,0.0,-0.095700,0.091701,4.273753
2.455521,-0.182156,0.0,0.0,-0.079530,0.070857,4.498468
2.653922,-0.196700,0.0,0.0,-0.067508,0.050005,4.722324
2.852462,-0.209244,0.0,0.0,-0.059108,0.036369,4.948547
3.051088,-0.220350,0.0,0.0,-0.052969,0.025346,5.173186
3.249769,-0.230453,0.0,0.0,-0.048971,0.016443,5.395976
3.448482,-0.239882,0.0,0.0,-0.045943,0.013996,5.616675
3.647221,-0.248758,0.0,0.0,-0.043402,0.011549,5.829973
3.845979,-0.257173,0.0,0.0,-0.041251,0.010389,6.037042
4.044755,-0.265176,0.0,0.0,-0.039259,0.009634,6.237381
4.243546,-0.272799,0.0,0.0,-0.037418,0.008846,6.431307
4.442349,-0.280072,0.0,0.0,-0.035745,0.007972,6.619537
4.641164,-0.287029,0.0,0.0,-0.034246,0.007098,6.802767
4.839989,-0.293706,0.0,0.0,-0.032921,0.006227,6.981512
5.038822,-0.300137,0.0,0.0,-0.031769,0.005357,7.156223
5.237662,-0.306356,0.0,0.0,-0.030789,0.004487,7.327302
5.436507,-0.312397,0.0,0.0,-0.029983,0.003616,7.495110
5.635356,-0.318295,0.0,0.0,-0.029351,0.002745,7.659973
5.834209,-0.324084,0.0,0.0,-0.028891,0.001874,7.822187
6.033063,-0.329800,0.0,0.0,-0.028605,0.001003,7.982019
6.231919,-0.335475,0.0,0.0,-0.028492,0.000133,8.000000
6.430775,-0.341146,0.0,0.0,-0.028552,-0.000736,8.000000
6.629630,-0.346846,0.0,0.0,-0.028785,-0.001605,8.000000
6.828483,-0.352608,0.0,0.0,-0.029189,-0.002460,8.000000
7.027334,-0.358469,0.0,0.0,-0.029764,-0.003313,8.000000
7.226180,-0.364460,0.0,0.0,-0.030507,-0.004163,8.000000
7.425022,-0.370616,0.0,0.0,-0.031420,-0.005011,8.000000
7.623857,-0.376970,0.0,0.0,-0.032501,-0.005858,7.937115
7.822685,-0.383556,0.0,0.0,-0.033751,-0.006705,7.771760
8.021504,-0.390408,0.0,0.0,-0.035169,-0.007552,7.603901
8.220312,-0.397557,0.0,0.0,-0.036755,-0.008399,7.433251
8.419108,-0.405039,0.0,0.0,-0.038511,-0.009247,7.259497
8.617890,-0.412887,0.0,0.0,-0.040434,-0.010094,7.082290
8.816656,-0.421134,0.0,0.0,-0.042527,-0.010941,6.901243
9.015403,-0.429813,0.0,0.0,-0.044787,-0.011787,6.715917
9.214130,-0.438959,0.0,0.0,-0.047216,-0.012636,6.525825
9.412833,-0.448604,0.0,0.0,-0.049815,-0.013488,6.330407
9.611509,-0.458782,0.0,0.0,-0.052583,-0.014340,6.129017
9.810156,-0.469499,0.0,0.0,-0.055066,-0.010225,5.920805
10.008782,-0.480620,0.0,0.0,-0.056648,-0.005679,5.699039
10.207396,-0.491954,0.0,0.0,-0.056906,0.008591,5.465295
10.406029,-0.502921,0.0,0.0,-0.052514,0.035561,5.248917
10.604736,-0.512483,0.0,0.0,-0.042758,0.062521,5.047773
10.803554,-0.519529,0.0,0.0,-0.026952,0.096775,4.867236
11.002455,-0.522747,0.0,0.0,-0.004246,0.131503,4.706276
11.201379,-0.520760,0.0,0.0,0.025374,0.166415,4.564041
11.400127,-0.512188,0.0,0.0,0.062012,0.201985,4.440620
11.598345,-0.495641,0.0,0.0,0.105747,0.237696,4.336203
11.795591,-0.469737,0.0,0.0,0.156611,0.273849,4.251932
11.991090,-0.433136,0.0,0.0,0.214783,0.311122,4.190447
12.183964,-0.384509,0.0,0.0,0.280401,0.348680,4.154799
12.373000,-0.322620,0.0,0.0,0.353712,0.388725,4.151608
