x_m,y_m
-5.708200,5.217200
-5.708200,5.267200
-5.708200,5.317200
-5.708200,5.367200
-5.708200,5.417200
-5.708200,5.467200
-5.708200,5.517200
-5.708200,5.567200
-5.708200,5.617200
-5.708200,5.667200
-5.708200,5.717200
-5.708200,5.767200
-5.708200,5.817200
-5.708200,5.867200
-5.708200,5.917200
-5.708200,5.967200
-5.708200,6.017200
-5.708200,6.067200
-5.708200,6.117200
-5.708200,6.167200
-5.708200,6.217200
-5.708200,6.267200
-5.708200,6.317200
-5.708200,6.367200
-5.708200,6.417200
-5.708200,6.467200
-5.708200,6.517200
-5.708200,6.567200
-5.708200,6.617200
-5.708200,6.667200
-5.708200,6.717200
-5.708200,6.767200
-5.708200,6.817200
-5.708200,6.867200
-5.708200,6.917200
-5.708200,6.967200
-5.708200,7.017200
-5.708200,7.067200
-5.708200,7.117200
-5.708200,7.167200
-5.708200,7.217200
-5.708200,7.267200
-5.708200,7.317200
-5.708200,7.367200
-5.708200,7.417200
-5.708200,7.467200
-5.708200,7.517200
-5.708200,7.567200
-5.658200,7.567200
-5.608200,7.567200
-5.558200,7.567200
-5.508200,7.567200
-5.458200,7.567200
-5.408200,7.567200
-5.358200,7.567200
-5.308200,7.567200
-5.258200,7.567200
-5.208200,7.567200
-5.158200,7.567200
-5.108200,7.567200
-5.058200,7.567200
-5.008200,7.567200
-4.958200,7.567200
-4.908200,7.567200
-4.858200,7.567200
-4.808200,7.567200
-4.758200,7.567200
-4.708200,7.567200
-4.658200,7.567200
-4.608200,7.567200
-4.558200,7.567200
-4.508200,7.567200
-4.458200,7.567200
-4.408200,7.567200
-4.358200,7.567200
-4.308200,7.567200
-4.258200,7.567200
-4.208200,7.567200
-4.158200,7.567200
-4.108200,7.567200
-4.058200,7.567200
-4.008200,7.567200
-3.958200,7.567200
-3.908200,7.567200
-3.858200,7.567200
-3.808200,7.567200
-3.758200,7.567200
-3.708200,7.567200
-3.658200,7.567200
-3.608200,7.567200
-3.558200,7.567200
-3.508200,7.567200
-3.458200,7.567200
-3.408200,7.567200
-3.358200,7.567200
-3.308200,7.567200
-3.258200,7.567200
-3.208200,7.567200
-3.158200,7.567200
-3.108200,7.567200
-3.058200,7.567200
-3.008200,7.567200
-2.958200,7.567200
-2.908200,7.567200
-2.858200,7.567200
-2.808200,7.567200
-2.758200,7.567200
-2.708200,7.567200
-2.658200,7.567200
-2.608200,7.567200
-2.558200,7.567200
-2.508200,7.567200
-2.458200,7.567200
-2.408200,7.567200
-2.358200,7.567200
-2.308200,7.567200
-2.258200,7.567200
-2.208200,7.567200
-2.158200,7.567200
-2.108200,7.567200
-2.058200,7.567200
-2.008200,7.567200
-1.958200,7.567200
-1.908200,7.567200
-1.858200,7.567200
-1.808200,7.567200
-1.758200,7.567200
-1.708200,7.567200
-1.658200,7.567200
-1.608200,7.567200
-1.558200,7.567200
-1.508200,7.567200
-1.458200,7.567200
-1.408200,7.567200
-1.358200,7.567200
-1.308200,7.567200
-1.258200,7.567200
-1.208200,7.567200
-1.158200,7.567200
-1.108200,7.567200
-1.058200,7.567200
-1.008200,7.567200
-0.958200,7.567200
-0.908200,7.567200
-0.858200,7.567200
-0.808200,7.567200
-0.758200,7.567200
-0.708200,7.567200
-0.658200,7.567200
-0.608200,7.567200
-0.558200,7.567200
-0.508200,7.567200
-0.458200,7.567200
-0.408200,7.567200
-0.358200,7.567200
-0.308200,7.567200
-0.258200,7.567200
-0.208200,7.567200
-0.158200,7.567200
-0.108200,7.567200
-0.058200,7.567200
-0.008200,7.567200
0.041800,7.567200
0.091800,7.567200
0.141800,7.567200
0.191800,7.567200
0.241800,7.567200
0.291800,7.567200
0.341800,7.567200
0.391800,7.567200
0.441800,7.567200
0.491800,7.567200
0.541800,7.567200
0.591800,7.567200
0.641800,7.567200
0.691800,7.567200
0.741800,7.567200
0.791800,7.567200
0.841800,7.567200
0.891800,7.567200
0.941800,7.567200
0.991800,7.567200
1.041800,7.567200
1.091800,7.567200
1.141800,7.567200
1.191800,7.567200
1.241800,7.567200
1.291800,7.567200
1.341800,7.567200
1.391800,7.567200
1.441800,7.567200
1.491800,7.567200
1.541800,7.567200
1.591800,7.567200
1.641800,7.567200
1.691800,7.567200
1.741800,7.567200
1.791800,7.567200
