x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.453451,4.986277,0.0,0.0,-2.176851,1.119916,2.061302
0.359217,4.807939,0.0,0.0,-1.927436,1.402635,1.887393
0.319959,4.616114,0.0,0.0,-1.599497,1.883740,1.885936
0.344521,4.422387,0.0,0.0,-1.321152,0.946160,1.884478
0.407575,4.229890,0.0,0.0,-1.214300,0.143798,2.209388
0.477729,4.039671,0.0,0.0,-1.225997,-0.060547,2.696748
0.544863,3.851560,0.0,0.0,-1.225897,0.062624,3.124807
0.613964,3.665259,0.0,0.0,-1.202211,0.119736,3.147363
0.686005,3.480224,0.0,0.0,-1.205907,-0.154755,2.773201
0.753042,3.291044,0.0,0.0,-1.263148,-0.410024,2.446044
0.804853,3.093531,0.0,0.0,-1.376705,-0.740174,2.163933
0.825556,2.893688,0.0,0.0,-1.577053,-1.296034,2.036010
0.795957,2.702932,0.0,0.0,-1.888386,-1.618773,2.034438
0.712088,2.525185,0.0,0.0,-2.099683,-0.555195,2.032864
0.605052,2.352186,0.0,0.0,-2.120031,0.335836,2.426508
0.507371,2.176262,0.0,0.0,-2.043892,0.201055,2.787005
0.417395,1.997783,0.0,0.0,-2.045576,-0.218871,2.825790
0.319515,1.822691,0.0,0.0,-2.120393,-0.261903,2.449224
0.214339,1.650321,0.0,0.0,-2.088095,0.598626,2.086927
0.132673,1.470927,0.0,0.0,-1.876459,1.540747,2.085316
0.102658,1.277500,0.0,0.0,-1.584832,1.297318,2.083703
0.124183,1.077538,0.0,0.0,-1.349808,1.073598,2.182180
0.189218,0.886259,0.0,0.0,-1.137423,1.027050,2.321515
0.290912,0.714046,0.0,0.0,-0.940407,0.936255,2.418035
0.421814,0.564884,0.0,0.0,-0.763590,0.846692,2.515562
0.577846,0.438834,0.0,0.0,-0.595778,0.832803,2.618199
0.751693,0.341075,0.0,0.0,-0.428129,0.851320,2.690860
0.939274,0.273990,0.0,0.0,-0.263316,0.715794,2.728334
1.135320,0.233847,0.0,0.0,-0.150849,0.409737,2.825042
1.333567,0.209995,0.0,0.0,-0.098048,0.145412,3.056165
1.533034,0.192773,0.0,0.0,-0.076945,0.063553,3.385540
1.731904,0.178130,0.0,0.0,-0.072944,-0.023376,3.719161
1.929853,0.162966,0.0,0.0,-0.079969,-0.032510,4.044846
2.129386,0.146383,0.0,0.0,-0.085568,-0.023523,4.336137
2.329053,0.128864,0.0,0.0,-0.088590,0.004246,4.612532
2.527971,0.111625,0.0,0.0,-0.082613,0.055275,4.887303
2.728307,0.096495,0.0,0.0,-0.066468,0.104314,5.099033
2.927520,0.084978,0.0,0.0,-0.050710,0.053807,5.249253
3.127427,0.075577,0.0,0.0,-0.044925,0.004152,5.440446
3.327259,0.066420,0.0,0.0,-0.047097,-0.010773,5.672993
3.526962,0.056872,0.0,0.0,-0.048049,0.001240,5.888443
3.726826,0.047367,0.0,0.0,-0.046617,0.011864,6.105920
3.926524,0.038275,0.0,0.0,-0.044434,0.009970,6.302939
4.126309,0.029579,0.0,0.0,-0.042629,0.008082,6.495116
4.326074,0.021203,0.0,0.0,-0.041309,0.004495,6.683133
4.525848,0.013005,0.0,0.0,-0.040868,-0.000087,6.869806
4.725654,0.004802,0.0,0.0,-0.041319,-0.003120,7.056836
4.925399,-0.003485,0.0,0.0,-0.041444,0.001863,7.234577
5.125202,-0.011700,0.0,0.0,-0.040574,0.006841,7.409352
5.324977,-0.019660,0.0,0.0,-0.039152,0.005408,7.572499
5.524772,-0.027407,0.0,0.0,-0.038499,0.001118,7.733653
5.724593,-0.035109,0.0,0.0,-0.038678,-0.001974,7.897436
5.924364,-0.042872,0.0,0.0,-0.038958,-0.000824,8.000000
6.124184,-0.050669,0.0,0.0,-0.039008,0.000324,8.000000
6.323964,-0.058456,0.0,0.0,-0.038910,0.000381,8.000000
6.523761,-0.066228,0.0,0.0,-0.038865,0.000069,8.000000
6.723575,-0.073999,0.0,0.0,-0.038879,-0.000132,8.000000
6.923351,-0.081772,0.0,0.0,-0.038895,-0.000031,8.000000
7.123171,-0.089548,0.0,0.0,-0.038892,0.000069,8.000000
7.322950,-0.097320,0.0,0.0,-0.038880,0.000014,8.000000
7.522749,-0.105092,0.0,0.0,-0.038887,-0.000080,8.000000
7.722556,-0.112868,0.0,0.0,-0.038908,-0.000058,7.996872
7.922335,-0.120645,0.0,0.0,-0.038893,0.000211,7.821843
8.122156,-0.128414,0.0,0.0,-0.038824,0.000479,7.643481
8.321931,-0.136168,0.0,0.0,-0.038790,-0.000307,7.460857
8.521732,-0.143935,0.0,0.0,-0.038950,-0.001295,7.275347
8.721535,-0.151752,0.0,0.0,-0.039248,-0.000610,7.084981
8.921312,-0.159585,0.0,0.0,-0.039003,0.003057,6.892191
9.121139,-0.167297,0.0,0.0,-0.038026,0.006721,6.698823
9.320907,-0.174778,0.0,0.0,-0.037006,0.002514,6.499711
9.520724,-0.182161,0.0,0.0,-0.037033,-0.002783,6.288864
9.720701,-0.189656,0.0,0.0,-0.037893,-0.002331,6.070698
9.920721,-0.197223,0.0,0.0,-0.037432,0.006953,5.849471
10.120254,-0.204495,0.0,0.0,-0.035104,0.016412,5.629923
10.320940,-0.211357,0.0,0.0,-0.034286,-0.011609,5.401491
10.520558,-0.218650,0.0,0.0,-0.039834,-0.044192,5.189519
10.720610,-0.227633,0.0,0.0,-0.048732,-0.006154,4.969190
10.921018,-0.236695,0.0,0.0,-0.037417,0.120528,4.805288
11.119309,-0.240873,0.0,0.0,-0.000325,0.237222,4.744713
11.319582,-0.237340,0.0,0.0,0.029657,0.059628,4.700991
11.519010,-0.231456,0.0,0.0,0.023229,-0.123795,4.516448
11.719531,-0.229384,0.0,0.0,0.003402,0.015000,4.329245
11.919814,-0.226640,0.0,0.0,0.032946,0.283310,4.252518
12.115848,-0.213056,0.0,0.0,0.109421,0.371068,4.249235
12.309720,-0.186352,0.0,0.0,0.155394,0.099193,4.245949
